"","term","gene"
"1134","ISC-marker genes (Munoz et al., 2012)","Trit1"
"1135","ISC-marker genes (Munoz et al., 2012)","Xpc"
"1136","ISC-marker genes (Munoz et al., 2012)","Tia1"
"1137","ISC-marker genes (Munoz et al., 2012)","Mtus1"
"1138","ISC-marker genes (Munoz et al., 2012)","Narg2"
"1139","ISC-marker genes (Munoz et al., 2012)","Zfp191"
"1140","ISC-marker genes (Munoz et al., 2012)","Trp53bp1"
"1141","ISC-marker genes (Munoz et al., 2012)","Chek2"
"1142","ISC-marker genes (Munoz et al., 2012)","Cps1"
"1143","ISC-marker genes (Munoz et al., 2012)","Gins4"
"1144","ISC-marker genes (Munoz et al., 2012)","Mcm2"
"1145","ISC-marker genes (Munoz et al., 2012)","Whsc1"
"1146","ISC-marker genes (Munoz et al., 2012)","Msh2"
"1147","ISC-marker genes (Munoz et al., 2012)","Trim28"
"1148","ISC-marker genes (Munoz et al., 2012)","Nrm"
"1149","ISC-marker genes (Munoz et al., 2012)","Nfib"
"1150","ISC-marker genes (Munoz et al., 2012)","Atrx"
"1151","ISC-marker genes (Munoz et al., 2012)","Ephb2"
"1152","ISC-marker genes (Munoz et al., 2012)","Zfp512"
"1153","ISC-marker genes (Munoz et al., 2012)","Zfp346"
"1154","ISC-marker genes (Munoz et al., 2012)","Rpa2"
"1155","ISC-marker genes (Munoz et al., 2012)","Surf2"
"1156","ISC-marker genes (Munoz et al., 2012)","Hells"
"1157","ISC-marker genes (Munoz et al., 2012)","Ccnb1"
"1158","ISC-marker genes (Munoz et al., 2012)","Ttk"
"1159","ISC-marker genes (Munoz et al., 2012)","Zfp451"
"1160","ISC-marker genes (Munoz et al., 2012)","Dnajc9"
"1161","ISC-marker genes (Munoz et al., 2012)","Pola2"
"1162","ISC-marker genes (Munoz et al., 2012)","Pdxk"
"1163","ISC-marker genes (Munoz et al., 2012)","Sipa1l1"
"1164","ISC-marker genes (Munoz et al., 2012)","Acss2"
"1165","ISC-marker genes (Munoz et al., 2012)","Pdp1"
"1166","ISC-marker genes (Munoz et al., 2012)","Apex1"
"1167","ISC-marker genes (Munoz et al., 2012)","Spata13"
"1168","ISC-marker genes (Munoz et al., 2012)","Zfp280d"
"1169","ISC-marker genes (Munoz et al., 2012)","Hmgb3"
"1170","ISC-marker genes (Munoz et al., 2012)","Mcm5"
"1171","ISC-marker genes (Munoz et al., 2012)","Zfp828"
"1172","ISC-marker genes (Munoz et al., 2012)","Unc84b"
"1173","ISC-marker genes (Munoz et al., 2012)","Mcm6"
"1174","ISC-marker genes (Munoz et al., 2012)","Clic4"
"1175","ISC-marker genes (Munoz et al., 2012)","Vgll4"
"1176","ISC-marker genes (Munoz et al., 2012)","Cdk4"
"1177","ISC-marker genes (Munoz et al., 2012)","Macrod1"
"1178","ISC-marker genes (Munoz et al., 2012)","Tmx4"
"1179","ISC-marker genes (Munoz et al., 2012)","Neil1"
"1180","ISC-marker genes (Munoz et al., 2012)","Mcm3"
"1181","ISC-marker genes (Munoz et al., 2012)","Zmym2"
"1182","ISC-marker genes (Munoz et al., 2012)","Nmral1"
"1183","ISC-marker genes (Munoz et al., 2012)","Pgcp"
"1184","ISC-marker genes (Munoz et al., 2012)","Nusap1"
"1185","ISC-marker genes (Munoz et al., 2012)","Mycbp2"
"1186","ISC-marker genes (Munoz et al., 2012)","Mcm7"
"1187","ISC-marker genes (Munoz et al., 2012)","Smad5"
"1188","ISC-marker genes (Munoz et al., 2012)","Mecp2"
"1189","ISC-marker genes (Munoz et al., 2012)","Bcl11b"
"1190","ISC-marker genes (Munoz et al., 2012)","Incenp"
"1191","ISC-marker genes (Munoz et al., 2012)","Hmga1"
"1192","ISC-marker genes (Munoz et al., 2012)","Nup210"
"1193","ISC-marker genes (Munoz et al., 2012)","Mcm4"
"1194","ISC-marker genes (Munoz et al., 2012)","Foxp4"
"1195","ISC-marker genes (Munoz et al., 2012)","Rad50"
"1196","ISC-marker genes (Munoz et al., 2012)","Lzts2"
"1197","ISC-marker genes (Munoz et al., 2012)","Pou2f1"
"1198","ISC-marker genes (Munoz et al., 2012)","Flna"
"1199","ISC-marker genes (Munoz et al., 2012)","Rtn4"
"1200","ISC-marker genes (Munoz et al., 2012)","Fhl2"
"1201","ISC-marker genes (Munoz et al., 2012)","Hrsp12"
"1202","ISC-marker genes (Munoz et al., 2012)","Sdsl"
"1203","ISC-marker genes (Munoz et al., 2012)","Nubpl"
"1204","ISC-marker genes (Munoz et al., 2012)","Mbp"
"1205","ISC-marker genes (Munoz et al., 2012)","Ivd"
"1206","ISC-marker genes (Munoz et al., 2012)","Adnp"
"1207","ISC-marker genes (Munoz et al., 2012)","Eri1"
"1208","ISC-marker genes (Munoz et al., 2012)","Pkig"
"1209","ISC-marker genes (Munoz et al., 2012)","Bphl"
"1210","ISC-marker genes (Munoz et al., 2012)","Spin1"
"1211","ISC-marker genes (Munoz et al., 2012)","Lhpp"
"1212","ISC-marker genes (Munoz et al., 2012)","Urod"
"1213","ISC-marker genes (Munoz et al., 2012)","Isg20l2"
"1214","ISC-marker genes (Munoz et al., 2012)","Dtd1"
"1215","ISC-marker genes (Munoz et al., 2012)","Lyplal1"
"1216","ISC-marker genes (Munoz et al., 2012)","Atxn10"
"1217","ISC-marker genes (Munoz et al., 2012)","Mett5d1"
"1218","ISC-marker genes (Munoz et al., 2012)","Phf6"
"1219","ISC-marker genes (Munoz et al., 2012)","Rnf2"
"1220","ISC-marker genes (Munoz et al., 2012)","Arsb"
"1221","ISC-marker genes (Munoz et al., 2012)","Ppp1r1b"
"1222","ISC-marker genes (Munoz et al., 2012)","Zfp740"
"1223","ISC-marker genes (Munoz et al., 2012)","Fto"
"1224","ISC-marker genes (Munoz et al., 2012)","Wdr55"
"1225","ISC-marker genes (Munoz et al., 2012)","Polr1a"
"1226","ISC-marker genes (Munoz et al., 2012)","Chchd6"
"1227","ISC-marker genes (Munoz et al., 2012)","Nhp2"
"1228","ISC-marker genes (Munoz et al., 2012)","Brd8"
"1229","ISC-marker genes (Munoz et al., 2012)","Bckdha"
"1230","ISC-marker genes (Munoz et al., 2012)","Cyp2e1"
"1231","ISC-marker genes (Munoz et al., 2012)","Lgr5"
"1232","ISC-marker genes (Munoz et al., 2012)","Tnfrsf19"
"1233","ISC-marker genes (Munoz et al., 2012)","Fstl1"
"1234","ISC-marker genes (Munoz et al., 2012)","Gkn3"
"1235","ISC-marker genes (Munoz et al., 2012)","Scn2b"
"1236","ISC-marker genes (Munoz et al., 2012)","Ces1d"
"1237","ISC-marker genes (Munoz et al., 2012)","Prelp"
"1238","ISC-marker genes (Munoz et al., 2012)","Sp5"
"1239","ISC-marker genes (Munoz et al., 2012)","E230029C05Rik"
"1240","ISC-marker genes (Munoz et al., 2012)","Il17rd"
"1241","ISC-marker genes (Munoz et al., 2012)","Fmnl2"
"1242","ISC-marker genes (Munoz et al., 2012)","Arl4c"
"1243","ISC-marker genes (Munoz et al., 2012)","Cttnbp2"
"1244","ISC-marker genes (Munoz et al., 2012)","Rgmb"
"1245","ISC-marker genes (Munoz et al., 2012)","Angpt2"
"1246","ISC-marker genes (Munoz et al., 2012)","Axin2"
"1247","ISC-marker genes (Munoz et al., 2012)","Hunk"
"1248","ISC-marker genes (Munoz et al., 2012)","Car12"
"1249","ISC-marker genes (Munoz et al., 2012)","Ptpro"
"1250","ISC-marker genes (Munoz et al., 2012)","Dct"
"1251","ISC-marker genes (Munoz et al., 2012)","Sfrp5"
"1252","ISC-marker genes (Munoz et al., 2012)","Sycn"
"1253","ISC-marker genes (Munoz et al., 2012)","Clca2"
"1254","ISC-marker genes (Munoz et al., 2012)","1300002K09Rik"
"1255","ISC-marker genes (Munoz et al., 2012)","Casp12"
"1256","ISC-marker genes (Munoz et al., 2012)","Emp2"
"1257","ISC-marker genes (Munoz et al., 2012)","Mia1"
"1258","ISC-marker genes (Munoz et al., 2012)","Psrc1"
"1259","ISC-marker genes (Munoz et al., 2012)","Notch1"
"1260","ISC-marker genes (Munoz et al., 2012)","Rnf43"
"1261","ISC-marker genes (Munoz et al., 2012)","Ddo"
"1262","ISC-marker genes (Munoz et al., 2012)","Arhgef4"
"1263","ISC-marker genes (Munoz et al., 2012)","Clca1"
"1264","ISC-marker genes (Munoz et al., 2012)","Evl"
"1265","ISC-marker genes (Munoz et al., 2012)","Utrn"
"1266","ISC-marker genes (Munoz et al., 2012)","Esrrg"
"1267","ISC-marker genes (Munoz et al., 2012)","Esam"
"1268","ISC-marker genes (Munoz et al., 2012)","Fgfr4"
"1269","ISC-marker genes (Munoz et al., 2012)","Sema7a"
"1270","ISC-marker genes (Munoz et al., 2012)","Wwtr1"
"1271","ISC-marker genes (Munoz et al., 2012)","Sorcs2"
"1272","ISC-marker genes (Munoz et al., 2012)","Rad51l1"
"1273","ISC-marker genes (Munoz et al., 2012)","Irs1"
"1274","ISC-marker genes (Munoz et al., 2012)","Mpp3"
"1275","ISC-marker genes (Munoz et al., 2012)","Ttc21b"
"1276","ISC-marker genes (Munoz et al., 2012)","Cdo1"
"1277","ISC-marker genes (Munoz et al., 2012)","Pla2g4a"
"1278","ISC-marker genes (Munoz et al., 2012)","Atg16l2"
"1279","ISC-marker genes (Munoz et al., 2012)","Epha4"
"1280","ISC-marker genes (Munoz et al., 2012)","Smo"
"1281","ISC-marker genes (Munoz et al., 2012)","Cpn1"
"1282","ISC-marker genes (Munoz et al., 2012)","Klhl8"
"1283","ISC-marker genes (Munoz et al., 2012)","Rnf32"
"1284","ISC-marker genes (Munoz et al., 2012)","Fzd2"
"1285","ISC-marker genes (Munoz et al., 2012)","D930015E06Rik"
"1286","ISC-marker genes (Munoz et al., 2012)","Tgif2"
"1287","ISC-marker genes (Munoz et al., 2012)","Wdr35"
"1288","ISC-marker genes (Munoz et al., 2012)","Ell3"
"1289","ISC-marker genes (Munoz et al., 2012)","Apcdd1"
"1290","ISC-marker genes (Munoz et al., 2012)","Cdc42ep1"
"1291","ISC-marker genes (Munoz et al., 2012)","Fzd7"
"1292","ISC-marker genes (Munoz et al., 2012)","Afap1"
"1293","ISC-marker genes (Munoz et al., 2012)","Mex3a"
"1294","ISC-marker genes (Munoz et al., 2012)","Adra2a"
"1295","ISC-marker genes (Munoz et al., 2012)","Shisa2"
"1296","ISC-marker genes (Munoz et al., 2012)","Pogk"
"1297","ISC-marker genes (Munoz et al., 2012)","Gramd1a"
"1298","ISC-marker genes (Munoz et al., 2012)","Sox4"
"1299","ISC-marker genes (Munoz et al., 2012)","Napepld"
"1300","ISC-marker genes (Munoz et al., 2012)","Txndc16"
"1301","ISC-marker genes (Munoz et al., 2012)","Sectm1b"
"1302","ISC-marker genes (Munoz et al., 2012)","Slc23a3"
"1303","ISC-marker genes (Munoz et al., 2012)","Cited4"
"1304","ISC-marker genes (Munoz et al., 2012)","B930095G15Rik"
"1305","ISC-marker genes (Munoz et al., 2012)","Ephb3"
"1306","ISC-marker genes (Munoz et al., 2012)","Gpr30"
"1307","ISC-marker genes (Munoz et al., 2012)","Ppap2b"
"1308","ISC-marker genes (Munoz et al., 2012)","Znrf3"
"1309","ISC-marker genes (Munoz et al., 2012)","Tfpi"
"1310","ISC-marker genes (Munoz et al., 2012)","Plekhb1"
"1311","ISC-marker genes (Munoz et al., 2012)","Rgs12"
"1312","ISC-marker genes (Munoz et al., 2012)","Farp1"
"1313","ISC-marker genes (Munoz et al., 2012)","Cd320"
"1314","ISC-marker genes (Munoz et al., 2012)","Cc2d2a"
"1315","ISC-marker genes (Munoz et al., 2012)","Cbx6"
"1316","ISC-marker genes (Munoz et al., 2012)","Tead2"
"1317","ISC-marker genes (Munoz et al., 2012)","Mycl1"
"1318","ISC-marker genes (Munoz et al., 2012)","Rasa3"
"1319","ISC-marker genes (Munoz et al., 2012)","Plxnb1"
"1320","ISC-marker genes (Munoz et al., 2012)","Man2a2"
"1321","ISC-marker genes (Munoz et al., 2012)","Large"
"1322","ISC-marker genes (Munoz et al., 2012)","Nap1l1"
"1323","ISC-marker genes (Munoz et al., 2012)","Trim44"
"1324","ISC-marker genes (Munoz et al., 2012)","Prkd3"
"1325","ISC-marker genes (Munoz et al., 2012)","Gkap1"
"1326","ISC-marker genes (Munoz et al., 2012)","Srl"
"1327","ISC-marker genes (Munoz et al., 2012)","Tex9"
"1328","ISC-marker genes (Munoz et al., 2012)","6230424C14Rik"
"1329","ISC-marker genes (Munoz et al., 2012)","Gpld1"
"1330","ISC-marker genes (Munoz et al., 2012)","Cachd1"
"1331","ISC-marker genes (Munoz et al., 2012)","Myc"
"1332","ISC-marker genes (Munoz et al., 2012)","Zranb3"
"1333","ISC-marker genes (Munoz et al., 2012)","Wwp1"
"1334","ISC-marker genes (Munoz et al., 2012)","Lipt2"
"1335","ISC-marker genes (Munoz et al., 2012)","Dync2h1"
"1336","ISC-marker genes (Munoz et al., 2012)","Gas6"
"1337","ISC-marker genes (Munoz et al., 2012)","Atm"
"1338","ISC-marker genes (Munoz et al., 2012)","Ptprs"
"1339","ISC-marker genes (Munoz et al., 2012)","Snx10"
"1340","ISC-marker genes (Munoz et al., 2012)","Zfp12"
"1341","ISC-marker genes (Munoz et al., 2012)","Kcne3"
"1342","ISC-marker genes (Munoz et al., 2012)","Ttpa"
"1343","ISC-marker genes (Munoz et al., 2012)","Wdr90"
"1344","ISC-marker genes (Munoz et al., 2012)","Immp2l"
"1345","ISC-marker genes (Munoz et al., 2012)","Dmpk"
"1346","ISC-marker genes (Munoz et al., 2012)","Fbxo21"
"1347","ISC-marker genes (Munoz et al., 2012)","Psd3"
"1348","ISC-marker genes (Munoz et al., 2012)","Ddb2"
"1349","ISC-marker genes (Munoz et al., 2012)","Zkscan17"
"1350","ISC-marker genes (Munoz et al., 2012)","Slc19a2"
"1351","ISC-marker genes (Munoz et al., 2012)","Clic6"
"1352","ISC-marker genes (Munoz et al., 2012)","Afap1l1"
"1353","ISC-marker genes (Munoz et al., 2012)","Ascl2"
"1354","ISC-marker genes (Munoz et al., 2012)","Sorbs2"
"1355","ISC-marker genes (Munoz et al., 2012)","Nav1"
"1356","ISC-marker genes (Munoz et al., 2012)","Slco3a1"
"1357","ISC-marker genes (Munoz et al., 2012)","Olfm4"
"1358","ISC-marker genes (Munoz et al., 2012)","Agr3"
"1359","ISC-marker genes (Munoz et al., 2012)","Msi1"
"1360","ISC-marker genes (Munoz et al., 2012)","Soat1"
"1361","ISC-marker genes (Munoz et al., 2012)","Cdca7"
"1362","ISC-marker genes (Munoz et al., 2012)","Cd44"
"1363","ISC-marker genes (Munoz et al., 2012)","Cdk6"
"1364","ISC-marker genes (Munoz et al., 2012)","Aqp4"
"1365","ISC-marker genes (Munoz et al., 2012)","Cgnl1"
"1366","ISC-marker genes (Munoz et al., 2012)","Slc12a2"
"1367","ISC-marker genes (Munoz et al., 2012)","Mecom"
"1368","ISC-marker genes (Munoz et al., 2012)","Tns3"
"1369","ISC-marker genes (Munoz et al., 2012)","Phldb2"
"1370","ISC-marker genes (Munoz et al., 2012)","Smoc2"
"1371","ISC-marker genes (Munoz et al., 2012)","Dach1"
"1372","ISC-marker genes (Munoz et al., 2012)","Clca4"
"1373","ISC-marker genes (Munoz et al., 2012)","Lcp1"
"1374","ISC-marker genes (Munoz et al., 2012)","Fam115c"
"1375","ISC-marker genes (Munoz et al., 2012)","Acsm3"
"1376","ISC-marker genes (Munoz et al., 2012)","Kcnq1"
"1377","ISC-marker genes (Munoz et al., 2012)","Sox9"
"1378","ISC-marker genes (Munoz et al., 2012)","Paics"
"1379","ISC-marker genes (Munoz et al., 2012)","Sept6"
"1380","ISC-marker genes (Munoz et al., 2012)","Cnn3"
"1381","ISC-marker genes (Munoz et al., 2012)","Picalm"
"1382","ISC-marker genes (Munoz et al., 2012)","Glrx"
"1383","ISC-marker genes (Munoz et al., 2012)","Vdr"
"1384","ISC-marker genes (Munoz et al., 2012)","Grb7"
"1385","ISC-marker genes (Munoz et al., 2012)","Sesn3"
"1386","ISC-marker genes (Munoz et al., 2012)","Zbtb38"
"1387","ISC-marker genes (Munoz et al., 2012)","Fam115a"
"1388","ISC-marker genes (Munoz et al., 2012)","Ptprm"
"1389","ISC-marker genes (Munoz et al., 2012)","Rassf4"
"1390","ISC-marker genes (Munoz et al., 2012)","Zfhx3"
"1391","ISC-marker genes (Munoz et al., 2012)","Pde3b"
"1392","ISC-marker genes (Munoz et al., 2012)","Fhdc1"
"1393","ISC-marker genes (Munoz et al., 2012)","Zfp292"
"1394","ISC-marker genes (Munoz et al., 2012)","Tubb2b"
"1395","ISC-marker genes (Munoz et al., 2012)","Efna4"
"1396","ISC-marker genes (Munoz et al., 2012)","Lrig1"
"1397","ISC-marker genes (Munoz et al., 2012)","Fras1"
"1398","ISC-marker genes (Munoz et al., 2012)","Adrbk2"
"1399","ISC-marker genes (Munoz et al., 2012)","Kif12"
"1400","ISC-marker genes (Munoz et al., 2012)","Prkacb"
"1401","ISC-marker genes (Munoz et al., 2012)","Atp11a"
"1402","ISC-marker genes (Munoz et al., 2012)","Spata24"
"1403","ISC-marker genes (Munoz et al., 2012)","Poli"
"1404","ISC-marker genes (Munoz et al., 2012)","Mcc"
"1405","ISC-marker genes (Munoz et al., 2012)","Slc44a2"
"1406","ISC-marker genes (Munoz et al., 2012)","Tbc1d19"
"1407","ISC-marker genes (Munoz et al., 2012)","Zfp462"
"1408","ISC-marker genes (Munoz et al., 2012)","1500011H22Rik"
"1409","ISC-marker genes (Munoz et al., 2012)","Arhgap39"
"1410","ISC-marker genes (Munoz et al., 2012)","Zbtb12"
"1411","ISC-marker genes (Munoz et al., 2012)","Ehf"
"1412","ISC-marker genes (Munoz et al., 2012)","App"
"1413","ISC-marker genes (Munoz et al., 2012)","Gm5918"
"1414","ISC-marker genes (Munoz et al., 2012)","Trim37"
"1415","ISC-marker genes (Munoz et al., 2012)","Marveld1"
"1416","ISC-marker genes (Munoz et al., 2012)","Ppp1r9a"
"1417","ISC-marker genes (Munoz et al., 2012)","Peli2"
"1418","ISC-marker genes (Munoz et al., 2012)","Tns4"
"1419","ISC-marker genes (Munoz et al., 2012)","Mfge8"
"1420","ISC-marker genes (Munoz et al., 2012)","Slc39a10"
"1421","ISC-marker genes (Munoz et al., 2012)","Ppat"
"1422","ISC-marker genes (Munoz et al., 2012)","Zfp566"
"1423","ISC-marker genes (Munoz et al., 2012)","Klhl23"
"1424","ISC-marker genes (Munoz et al., 2012)","Tiam1"
"1425","ISC-marker genes (Munoz et al., 2012)","Gm3626"
"1426","ISC-marker genes (Munoz et al., 2012)","Aqp1"
"1427","ISC-marker genes (Munoz et al., 2012)","Tmem132a"
"1428","ISC-marker genes (Munoz et al., 2012)","Rhbdf1"
"1429","ISC-marker genes (Munoz et al., 2012)","2310008H04Rik"
"1430","ISC-marker genes (Munoz et al., 2012)","Pbx1"
"1431","ISC-marker genes (Munoz et al., 2012)","Tnfsf10"
"1432","ISC-marker genes (Munoz et al., 2012)","Als2cr4"
"1433","ISC-marker genes (Munoz et al., 2012)","Phlpp1"
"1434","ISC-marker genes (Munoz et al., 2012)","Ift122"
"1435","ISC-marker genes (Munoz et al., 2012)","Bcl2"
"1436","ISC-marker genes (Munoz et al., 2012)","Lysmd2"
"1437","ISC-marker genes (Munoz et al., 2012)","Zfp397"
"1438","ISC-marker genes (Munoz et al., 2012)","Tspan5"
"1439","ISC-marker genes (Munoz et al., 2012)","Acvr2b"
"1440","ISC-marker genes (Munoz et al., 2012)","Mlh3"
"1441","ISC-marker genes (Munoz et al., 2012)","Brca2"
"1442","ISC-marker genes (Munoz et al., 2012)","Zfp275"
"1443","ISC-marker genes (Munoz et al., 2012)","Engase"
"1444","ISC-marker genes (Munoz et al., 2012)","Nelf"
"1445","ISC-marker genes (Munoz et al., 2012)","Gabbr1"
"1446","ISC-marker genes (Munoz et al., 2012)","Rgnef"
"1447","ISC-marker genes (Munoz et al., 2012)","Ppm1f"
"1448","ISC-marker genes (Munoz et al., 2012)","Prrc2b"
"1449","ISC-marker genes (Munoz et al., 2012)","AU020206"
"1450","ISC-marker genes (Munoz et al., 2012)","Fads1"
"1451","ISC-marker genes (Munoz et al., 2012)","Nod1"
"1452","ISC-marker genes (Munoz et al., 2012)","Rnf219"
"1453","ISC-marker genes (Munoz et al., 2012)","4933439C10Rik"
"1454","ISC-marker genes (Munoz et al., 2012)","Pnpla7"
"1455","ISC-marker genes (Munoz et al., 2012)","Zfp704"
"1456","ISC-marker genes (Munoz et al., 2012)","C79407"
"1457","ISC-marker genes (Munoz et al., 2012)","Eri2"
"1458","ISC-marker genes (Munoz et al., 2012)","Tnfaip8l1"
"1459","ISC-marker genes (Munoz et al., 2012)","Ttc23"
"1460","ISC-marker genes (Munoz et al., 2012)","Mpzl3"
"1461","ISC-marker genes (Munoz et al., 2012)","Zbtb25"
"1462","ISC-marker genes (Munoz et al., 2012)","Maged1"
"1463","ISC-marker genes (Munoz et al., 2012)","Fam92a"
"1464","ISC-marker genes (Munoz et al., 2012)","Ccdc18"
"1465","ISC-marker genes (Munoz et al., 2012)","Zfp783"
"1466","ISC-marker genes (Munoz et al., 2012)","Krt23"
"1467","ISC-marker genes (Munoz et al., 2012)","Mlxip"
"1468","ISC-marker genes (Munoz et al., 2012)","Lancl1"
"1469","ISC-marker genes (Munoz et al., 2012)","Lpar6"
"1470","ISC-marker genes (Munoz et al., 2012)","Zfp553"
"1471","ISC-marker genes (Munoz et al., 2012)","Poglut1"
"1472","ISC-marker genes (Munoz et al., 2012)","Pole"
"1473","ISC-marker genes (Munoz et al., 2012)","Mcm8"
"1474","ISC-marker genes (Munoz et al., 2012)","Haus4"
"1475","ISC-marker genes (Munoz et al., 2012)","Zfp90"
"1476","ISC-marker genes (Munoz et al., 2012)","Plce1"
"1477","ISC-marker genes (Munoz et al., 2012)","Fam189b"
"1478","ISC-marker genes (Munoz et al., 2012)","Pds5b"
"1479","ISC-marker genes (Munoz et al., 2012)","Tgif1"
"1480","ISC-marker genes (Munoz et al., 2012)","Phc1"
"1481","ISC-marker genes (Munoz et al., 2012)","Blnk"
"1482","ISC-marker genes (Munoz et al., 2012)","Spice1"
"1483","ISC-marker genes (Munoz et al., 2012)","Aspm"
"1484","ISC-marker genes (Munoz et al., 2012)","Isyna1"
"1485","ISC-marker genes (Munoz et al., 2012)","Palb2"
"1486","ISC-marker genes (Munoz et al., 2012)","Hirip3"
"1487","ISC-marker genes (Munoz et al., 2012)","Alms1"
"1488","ISC-marker genes (Munoz et al., 2012)","Lass6"
"1489","ISC-marker genes (Munoz et al., 2012)","Mpzl1"
"1490","ISC-marker genes (Munoz et al., 2012)","Cenpf"
"1491","ISC-marker genes (Munoz et al., 2012)","Mdn1"
"1492","ISC-marker genes (Munoz et al., 2012)","Sema3b"
"1493","ISC-marker genes (Munoz et al., 2012)","Zmym1"
"1494","ISC-marker genes (Munoz et al., 2012)","Cep192"
"1495","ISC-marker genes (Munoz et al., 2012)","Ung"
"1496","ISC-marker genes (Munoz et al., 2012)","Prpf40b"
"1497","ISC-marker genes (Munoz et al., 2012)","Atr"
"1498","ISC-marker genes (Munoz et al., 2012)","AI480653"
"1499","ISC-marker genes (Munoz et al., 2012)","Zfp318"
"1500","ISC-marker genes (Munoz et al., 2012)","Tmem9"
"1501","ISC-marker genes (Munoz et al., 2012)","Gins1"
"1502","ISC-marker genes (Munoz et al., 2012)","Ifitm2"
"1503","ISC-marker genes (Munoz et al., 2012)","Vnn1"
"1504","ISC-marker genes (Munoz et al., 2012)","Smpx"
"1505","ISC-marker genes (Munoz et al., 2012)","Tmem194"
"1506","ISC-marker genes (Munoz et al., 2012)","Dtl"
"1507","ISC-marker genes (Munoz et al., 2012)","Csnk1e"
"1508","ISC-marker genes (Munoz et al., 2012)","Dctd"
"1509","ISC-marker genes (Munoz et al., 2012)","Xrcc5"
"1510","ISC-marker genes (Munoz et al., 2012)","Nt5c3l"
"1511","ISC-marker genes (Munoz et al., 2012)","Aldh7a1"
"1512","ISC-marker genes (Munoz et al., 2012)","Limk2"
"1513","ISC-marker genes (Munoz et al., 2012)","Etv6"
"1514","ISC-marker genes (Munoz et al., 2012)","Elmo1"
"1515","ISC-marker genes (Munoz et al., 2012)","Dapk2"
"1516","ISC-marker genes (Munoz et al., 2012)","Nfic"
"1517","ISC-marker genes (Munoz et al., 2012)","Timeless"
"1518","ISC-marker genes (Munoz et al., 2012)","Ckap2"
"1519","ISC-marker genes (Munoz et al., 2012)","Myo1b"
"1520","ISC-marker genes (Munoz et al., 2012)","Nfia"
"1521","ISC-marker genes (Munoz et al., 2012)","Csad"
"1522","ISC-marker genes (Munoz et al., 2012)","Tbc1d4"
"1523","ISC-marker genes (Munoz et al., 2012)","Bckdhb"
"1524","ISC-marker genes (Munoz et al., 2012)","Bcl7a"
"1525","ISC-marker genes (Munoz et al., 2012)","Pck2"
"1526","ISC-marker genes (Munoz et al., 2012)","Yap1"
"1527","ISC-marker genes (Munoz et al., 2012)","Stk39"
"1528","ISC-marker genes (Munoz et al., 2012)","Rprd1a"
"1529","ISC-marker genes (Munoz et al., 2012)","Ilf3"
"1530","ISC-marker genes (Munoz et al., 2012)","Kif20a"
"1531","ISC-marker genes (Munoz et al., 2012)","Mif"
"1532","ISC-marker genes (Munoz et al., 2012)","Mkl2"
"1533","ISC-marker genes (Munoz et al., 2012)","Fam120c"
"1534","ISC-marker genes (Munoz et al., 2012)","Ncor2"
"1535","ISC-marker genes (Munoz et al., 2012)","Pcdh8"
"1536","ISC-marker genes (Munoz et al., 2012)","Rassf5"
"1537","ISC-marker genes (Munoz et al., 2012)","Slc14a1"
"1538","ISC-marker genes (Munoz et al., 2012)","Nr2e3"
"1539","ISC-marker genes (Munoz et al., 2012)","1190002H23Rik"
"1540","ISC-marker genes (Munoz et al., 2012)","Smarcd3"
"1541","ISC-marker genes (Munoz et al., 2012)","Ak7"
"1542","ISC-marker genes (Munoz et al., 2012)","Bhlhb9"
"1543","ISC-marker genes (Munoz et al., 2012)","Prss23"
"1544","ISC-marker genes (Munoz et al., 2012)","Ifitm3"
"1545","ISC-marker genes (Munoz et al., 2012)","Wfdc15b"
"1546","ISC-marker genes (Munoz et al., 2012)","Rdh16"
"1547","ISC-marker genes (Munoz et al., 2012)","Zfp618"
"1548","ISC-marker genes (Munoz et al., 2012)","Lect2"
"1549","ISC-marker genes (Munoz et al., 2012)","H2-Eb1"
"1550","ISC-marker genes (Munoz et al., 2012)","Iffo2"
"1551","ISC-marker genes (Munoz et al., 2012)","Zc3hav1l"
"1552","ISC-marker genes (Munoz et al., 2012)","Klhl24"
"1553","ISC-marker genes (Munoz et al., 2012)","Tbc1d9"
"1554","ISC-marker genes (Munoz et al., 2012)","Ciita"
"1555","ISC-marker genes (Munoz et al., 2012)","Nrtn"
"1556","ISC-marker genes (Munoz et al., 2012)","Nrg4"
"1557","ISC-marker genes (Munoz et al., 2012)","Tcf7"
"1558","ISC-marker genes (Munoz et al., 2012)","Greb1"
"1559","ISC-marker genes (Munoz et al., 2012)","Nrn1"
"1560","ISC-marker genes (Munoz et al., 2012)","AI747448"
"1561","ISC-marker genes (Munoz et al., 2012)","Dtx4"
"1562","ISC-marker genes (Munoz et al., 2012)","Trim32"
"1563","ISC-marker genes (Munoz et al., 2012)","Rasl11b"
"1564","ISC-marker genes (Munoz et al., 2012)","Zfp503"
"1565","ISC-marker genes (Munoz et al., 2012)","BC021891"
"1566","ISC-marker genes (Munoz et al., 2012)","Pdgfa"
"1567","ISC-marker genes (Munoz et al., 2012)","Tlr2"
"1568","ISC-marker genes (Munoz et al., 2012)","S100pbp"
"1569","ISC-marker genes (Munoz et al., 2012)","4933431E20Rik"
"1570","ISC-marker genes (Munoz et al., 2012)","Fgd1"
