"","term","gene"
"4793","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","EIF4A2"
"4794","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","C13ORF3"
"4795","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","TNS"
"4796","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SPATA13"
"4797","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","G1P3"
"4798","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PYCRL"
"4799","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","RPL22"
"4800","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","TAF9"
"4801","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","EGFL4"
"4802","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PKN1"
"4803","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","UBA52"
"4804","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","APEX1"
"4805","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","GRM7"
"4806","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","NSUN5"
"4807","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CPNE7"
"4808","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MEF2B"
"4809","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","POLD2"
"4810","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PTBP1"
"4811","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","RPS24"
"4812","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","HIST1H1D"
"4813","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","LMNB2"
"4814","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","C13ORF12"
"4815","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","HRB"
"4816","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ZNF339"
"4817","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","LOXL2"
"4818","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","GTF3A"
"4819","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","EIF3S6"
"4820","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SNRPB"
"4821","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","DKFZP434B168"
"4822","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PABPC4"
"4823","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SSBP1"
"4824","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CDC2"
"4825","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CNN2"
"4826","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","UBE2H"
"4827","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","HNRPM"
"4828","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","C7ORF27"
"4829","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","HSCARG"
"4830","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MCCC2"
"4831","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PDZK8"
"4832","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PLK1"
"4833","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","LAT1-3TM"
"4834","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ARL10B"
"4835","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","FLJ30656"
"4836","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CHCHD2"
"4837","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","HM13"
"4838","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ADRM1"
"4839","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MSI2"
"4840","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","RBM3"
"4841","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","EEF2"
"4842","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","BMS1L"
"4843","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MCM7"
"4844","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","RPL11"
"4845","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","TBCC"
"4846","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","FGFR4"
"4847","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SFRS1"
"4848","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ZNRF3"
"4849","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SRGAP1"
"4850","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","DHX9"
"4851","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PSMA3"
"4852","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ATP6V1F"
"4853","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PDIP"
"4854","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ATIC"
"4855","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","RBED1"
"4856","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CDC20"
"4857","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","RPS3"
"4858","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","RPL9"
"4859","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","COL4A1"
"4860","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SLCO4A1"
"4861","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","LOC51685"
"4862","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","VMP1"
"4863","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","FLJ20315"
"4864","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","UBE2C"
"4865","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","RPS23"
"4866","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","BMP4"
"4867","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","TAPBP"
"4868","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MGC2463"
"4869","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PSMA1"
"4870","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","C20ORF72"
"4871","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","RPL31"
"4872","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","KDELR2"
"4873","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","EIF3S2"
"4874","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PPIF"
"4875","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MKI67IP"
"4876","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","LRP16"
"4877","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CD44"
"4878","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PORIMIN"
"4879","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MGC13114"
"4880","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","POLD1"
"4881","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PIGT"
"4882","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MRPL4"
"4883","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","GAS8"
"4884","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","POLA2"
"4885","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","FLJ20255"
"4886","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SNRPE"
"4887","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","TPARL"
"4888","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","KIAA0152"
"4889","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","AMPD2"
"4890","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","FBL"
"4891","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","K-ALPHA-1"
"4892","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","LOC346171"
"4893","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SMARCC1"
"4894","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","EIF3S4"
"4895","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","YEATS2"
"4896","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SHFM1"
"4897","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","XPO4"
"4898","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CGI-69"
"4899","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","VKORC1"
"4900","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","STX6"
"4901","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MFI2"
"4902","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PPP3CA"
"4903","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","GPKOW"
"4904","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","LOC23117"
"4905","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","GARS"
"4906","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","OGT"
"4907","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ARD1"
"4908","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SCYE1"
"4909","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ANXA5"
"4910","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MARCH9"
"4911","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","BAT1"
"4912","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PRDX2"
"4913","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","HSGT1"
"4914","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SDBCAG84"
"4915","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","HNRPAB"
"4916","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","DKFZP434J1015"
"4917","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","AP1G2"
"4918","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","NSEP1"
"4919","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SSSCA1"
"4920","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","EIF3S7"
"4921","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SRP72"
"4922","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","COX10"
"4923","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SLC2A11"
"4924","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CALR"
"4925","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","C20ORF172"
"4926","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","TRAP1"
"4927","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MGC9850"
"4928","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PPP2R1A"
"4929","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SET"
"4930","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","FLJ25555"
"4931","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","FLJ12442"
"4932","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","DPH2L2"
"4933","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PTP4A3"
"4934","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","LYPLAL1"
"4935","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","RPS25"
"4936","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PRSS15"
"4937","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PLOD3"
"4938","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ATAD2"
"4939","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CHR2SYT"
"4940","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","RKHD3"
"4941","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MAGEF1"
"4942","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PRKCBP1"
"4943","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","TPI1"
"4944","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","FPRL1"
"4945","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","EEF1G"
"4946","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PDCD5"
"4947","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MCP"
"4948","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PVRL4"
"4949","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","LOC89944"
"4950","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","COL5A1"
"4951","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","HNRPH1"
"4952","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","GLTSCR2"
"4953","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ADD3"
"4954","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","TUFM"
"4955","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ATP6V0A1"
"4956","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","HIST1H1E"
"4957","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CHC1"
"4958","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","TARS"
"4959","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","RTN4IP1"
"4960","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PLXNA1"
"4961","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SCAP2"
"4962","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PAPOLA"
"4963","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","KAL1"
"4964","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","HOXB9"
"4965","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","FLJ11806"
"4966","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ANXA2P1"
"4967","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","DKFZP451J0118"
"4968","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ZNF511"
"4969","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CDC42EP1"
"4970","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","RPLP2"
"4971","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","B7H3"
"4972","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","BANF1"
"4973","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SOX4"
"4974","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","HOMER1"
"4975","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PC4"
"4976","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","QTRT1"
"4977","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ITGB4BP"
"4978","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","HIST1H4A"
"4979","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ATP13A3"
"4980","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","FKSG14"
"4981","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SFRS6"
"4982","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CYP1A2"
"4983","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PROK2"
"4984","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","GTF2I"
"4985","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CCT2"
"4986","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SEPT1"
"4987","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ZNF343"
"4988","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","C20ORF155"
"4989","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ANLN"
"4990","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PRKCSH"
"4991","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PPIB"
"4992","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","AKAP11"
"4993","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","LRRIQ2"
"4994","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","NOMO1"
"4995","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","RALY"
"4996","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CCT5"
"4997","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PSMA7"
"4998","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","FLJ10661"
"4999","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MLLT6"
"5000","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","AARSL"
"5001","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MRPS5"
"5002","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MCTS1"
"5003","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","DNAI2"
"5004","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","TOMM40"
"5005","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MGAT5"
"5006","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","NDUFA7"
"5007","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","HIST1H4C"
"5008","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CLDN12"
"5009","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MGC10671"
"5010","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","G6PD"
"5011","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SMYD5"
"5012","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","C21ORF4"
"5013","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","GPX4"
"5014","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SITPEC"
"5015","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","UBAP2"
"5016","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","C20ORF149"
"5017","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","FZD8"
"5018","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CTSB"
"5019","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","FLJ31153"
"5020","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MGC5352"
"5021","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","FAT"
"5022","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SEC61A1"
"5023","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","TXN"
"5024","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","EXOSC4"
"5025","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","RPS13"
"5026","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","COX6B1"
"5027","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","OAZ1"
"5028","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CASK"
"5029","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","DCK"
"5030","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","HMGN1"
"5031","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","BTF3L2"
"5032","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","FLJ21816"
"5033","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","IFP38"
"5034","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PXK"
"5035","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","NMD3"
"5036","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SSB"
"5037","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CPSF6"
"5038","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ATP5E"
"5039","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SORD"
"5040","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","TIMP1"
"5041","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","YAP1"
"5042","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MGC24665"
"5043","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","TNFSF7"
"5044","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","DSCR4"
"5045","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","FLJ20719"
"5046","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ETFB"
"5047","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","SR140"
"5048","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MAPK13"
"5049","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CYP2S1"
"5050","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","HSPC129"
"5051","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","HMGB2"
"5052","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ZDHHC6"
"5053","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","TBC1D17"
"5054","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","CD81"
"5055","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","ARL5"
"5056","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","GPR157"
"5057","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","C14ORF156"
"5058","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","RNPC2"
"5059","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","C10ORF7"
"5060","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","BTNL9"
"5061","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","HSPC023"
"5062","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PLA2G6"
"5063","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","PTMA"
"5064","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","AGPS"
"5065","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","IDH3G"
"5066","Genes up-regulated in colon adenocarcinoma vs. normal mucosa (Grade et al., 2007)","MFAP2"
