rawname,motif,human_gene
GATA4,MA0482.2,GATA4
GATA6,MA1104.2,GATA6
GRHL2,MA1105.2,GRHL2
HLF,MA0043.3,HLF
HNF4A,MA0114.4,HNF4A
HNF4G,MA0484.2,HNF4G
HOXB13,MA0901.2,HOXB13
JUNB,MA0490.2,JUNB
JUND,MA0491.2,JUND
KLF4,MA0039.4,KLF4
KLF9,MA1107.2,KLF9
LHX2,MA0700.2,LHX2
MAFF,MA0495.3,MAFF
MAFG,MA0659.2,MAFG
MAFK,MA0496.3,MAFK
MEF2A,MA0052.4,MEF2A
MITF,MA0620.3,MITF
MXI1,MA1108.2,MXI1
MYOD1,MA0499.2,MYOD1
MYOG,MA0500.2,MYOG
MZF1,MA0056.2,MZF1
NFE2L1,MA0089.2,NFE2L1
NFIL3,MA0025.2,NFIL3
NFYB,MA0502.2,NFYB
NKX2-5,MA0063.2,NKX2-5
NR4A1,MA1112.2,NR4A1
ONECUT1,MA0679.2,ONECUT1
OTX2,MA0712.2,OTX2
PBX2,MA1113.2,PBX2
PHOX2B,MA0681.2,PHOX2B
PKNOX1,MA0782.2,PKNOX1
POU2F3,MA0627.2,POU2F3
PRDM1,MA0508.3,PRDM1
RFX1,MA0509.2,RFX1
RFX3,MA0798.2,RFX3
RUNX3,MA0684.2,RUNX3
SCRT1,MA0743.2,SCRT1
SCRT2,MA0744.2,SCRT2
SNAI2,MA0745.2,SNAI2
SOX2,MA0143.4,SOX2
SPI1,MA0080.5,SPI1
SPIB,MA0081.2,SPIB
SREBF1(var.2),MA0829.2,SREBF1
TCF3,MA0522.3,TCF3
TCF4,MA0830.2,TCF4
TCF7,MA0769.2,TCF7
TEAD1,MA0090.3,TEAD1
TEAD4,MA0809.2,TEAD4
TFAP2A,MA0003.4,TFAP2A
TFAP2C(var.2),MA0814.2,TFAP2C
TWIST1,MA1123.2,TWIST1
USF1,MA0093.3,USF1
USF2,MA0526.3,USF2
YY2,MA0748.2,YY2
ZNF263,MA0528.2,ZNF263
CREM,MA0609.2,CREM
