HGNC ID	Approved symbol	RefSeq IDs	Ensembl gene ID
HGNC:20424	HCG16		
HGNC:31339	HCG17	NR_052012	ENSG00000270604
HGNC:31337	HCG18	NR_024052	ENSG00000231074
HGNC:31336	HCG19P		
HGNC:31334	HCG20		ENSG00000228022
HGNC:31335	HCG21		ENSG00000233529
HGNC:27780	HCG22	NM_001348249	ENSG00000228789
HGNC:19713	HCG23	NR_044996	
HGNC:23500	HCG24		ENSG00000230313
HGNC:20196	HCG25		ENSG00000232940
HGNC:29671	HCG26	NR_002812	
HGNC:27366	HCG27	NR_026791	ENSG00000206344
HGNC:18645	HCHOLA3		
HGNC:18573	HCHOLA4		
HGNC:4840	HCK		ENSG00000101336
HGNC:4841	HCL1		
HGNC:4842	HCL2		
HGNC:4843	HCL3		
HGNC:4844	HCLS1	NM_005335	ENSG00000180353
HGNC:4845	HCN1	NM_021072	ENSG00000164588
HGNC:4846	HCN2	NM_001194	ENSG00000099822
HGNC:19183	HCN3	NM_020897	ENSG00000143630
HGNC:16882	HCN4	NM_005477	ENSG00000138622
HGNC:21659	HCP5	NR_040662	ENSG00000206337
HGNC:30984	HCP5B		
HGNC:21662	HCP5P2		
HGNC:23084	HCP5P3		
HGNC:21660	HCP5P6		
HGNC:30985	HCP5P8		
HGNC:21671	HCP5P12		
HGNC:30977	HCP5P13		
HGNC:30976	HCP5P14		
HGNC:21670	HCP5P15		
HGNC:4847	HCRT	NM_001524	ENSG00000161610
HGNC:4848	HCRTR1	NM_001525	ENSG00000121764
HGNC:4849	HCRTR2		ENSG00000137252
HGNC:16977	HCST	NM_014266	ENSG00000126264
HGNC:4850	HCVS		
HGNC:4852	HDAC1	NM_004964	ENSG00000116478
HGNC:45190	HDAC1P1	NG_025534	ENSG00000234724
HGNC:45191	HDAC1P2	NG_027210	ENSG00000233012
HGNC:4853	HDAC2		ENSG00000196591
HGNC:43590	HDAC2-AS2	NR_125845	ENSG00000228624
HGNC:4854	HDAC3	NM_003883	ENSG00000171720
HGNC:14063	HDAC4	NM_006037	ENSG00000068024
HGNC:54064	HDAC4-AS1	NR_135575	ENSG00000222020
HGNC:14068	HDAC5	NM_001015053	ENSG00000108840
HGNC:14064	HDAC6	NM_006044	ENSG00000094631
HGNC:14067	HDAC7		ENSG00000061273
HGNC:13315	HDAC8	NM_018486	ENSG00000147099
HGNC:14065	HDAC9		ENSG00000048052
HGNC:40664	HDAC9-AS1		ENSG00000226522
HGNC:18128	HDAC10	NM_032019	ENSG00000100429
HGNC:19086	HDAC11	NM_024827	ENSG00000163517
HGNC:40868	HDAC11-AS1		ENSG00000244502
HGNC:4855	HDC		ENSG00000140287
HGNC:21078	HDDC2	NM_016063	ENSG00000111906
HGNC:30522	HDDC3	NM_198527	ENSG00000184508
HGNC:4856	HDGF	NM_004494	ENSG00000143321
HGNC:21095	HDGFL1	NM_138574	ENSG00000112273
HGNC:14680	HDGFL2	NM_001001520	ENSG00000167674
HGNC:24937	HDGFL3	NM_016073	ENSG00000166503
HGNC:54965	HDGFL3P1		ENSG00000234466
HGNC:31836	HDGFP1	NG_004722	ENSG00000227183
HGNC:25364	HDHD2	NM_032124	ENSG00000167220
HGNC:28171	HDHD3	NM_031219	ENSG00000119431
HGNC:1843	HDHD5	NM_017829	ENSG00000069998
HGNC:1842	HDHD5-AS1	NR_024483	ENSG00000185837
HGNC:4857	HDLBP	NM_203346	ENSG00000115677
HGNC:56103	HDLBP-AS1	NR_168372	
HGNC:30996	HDLCQ1		
HGNC:4858	HDLDT1		
HGNC:26411	HDX	NM_144657	ENSG00000165259
HGNC:25517	HEATR1	NM_018072	ENSG00000119285
HGNC:26087	HEATR3	NM_182922	ENSG00000155393
HGNC:55406	HEATR3-AS1		ENSG00000259843
HGNC:16761	HEATR4	NM_203309	ENSG00000187105
HGNC:20276	HEATR5A	NM_015473	ENSG00000129493
HGNC:55552	HEATR5A-DT	NR_110045	ENSG00000250365
HGNC:29273	HEATR5B	NM_019024	ENSG00000008869
HGNC:24076	HEATR6	NM_022070	ENSG00000068097
HGNC:52929	HEATR6-DT		ENSG00000267416
HGNC:26548	HEATR9	NM_152781	ENSG00000270379
HGNC:17176	HEBP1		ENSG00000013583
HGNC:15716	HEBP2		ENSG00000051620
HGNC:54784	HEBP2P1	NG_021531	ENSG00000235548
HGNC:21041	HECA	NM_016217	ENSG00000112406
HGNC:20157	HECTD1		ENSG00000092148
HGNC:26736	HECTD2		ENSG00000165338
HGNC:48679	HECTD2-AS1	NR_024467	
HGNC:26117	HECTD3	NM_024602	ENSG00000126107
HGNC:26611	HECTD4	NM_001109662	ENSG00000173064
HGNC:22195	HECW1	NM_015052	ENSG00000002746
HGNC:41465	HECW1-IT1	NR_135295	ENSG00000181211
HGNC:29853	HECW2	NM_020760	ENSG00000138411
HGNC:54062	HECW2-AS1	NR_110225	ENSG00000229056
HGNC:29227	HEG1	NM_020733	ENSG00000173706
HGNC:4859	HEGFL		
HGNC:45049	HEIH	NR_045680	ENSG00000278970
HGNC:17196	HELB		ENSG00000127311
HGNC:4860	HELIGL1		
HGNC:43984	HELLPAR		ENSG00000281344
HGNC:4861	HELLS	NM_018063	ENSG00000119969
HGNC:18536	HELQ	NM_133636	ENSG00000163312
HGNC:33783	HELT	NM_001300781	ENSG00000187821
HGNC:16878	HELZ	NM_014877	ENSG00000198265
HGNC:55319	HELZ-AS1	NR_136398	ENSG00000266473
HGNC:30021	HELZ2	NM_001037335	ENSG00000130589
HGNC:17509	HEMGN	NM_197978	ENSG00000136929
HGNC:24923	HEMK1	NM_016173	ENSG00000114735
HGNC:4863	HEN1		
HGNC:4864	HEN2		
HGNC:26400	HENMT1	NM_144584	ENSG00000162639
HGNC:4865	HEP10		
HGNC:26361	HEPACAM	NM_152722	ENSG00000165478
HGNC:27364	HEPACAM2	NM_198151	ENSG00000188175
HGNC:56244	HEPFAL		ENSG00000274225
HGNC:4866	HEPH	NM_138737	ENSG00000089472
HGNC:30477	HEPHL1	NM_001098672	ENSG00000181333
HGNC:34400	HEPN1	NM_001037558	ENSG00000221932
HGNC:4867	HERC1	NM_003922	ENSG00000103657
HGNC:4868	HERC2	NM_004667	ENSG00000128731
HGNC:4869	HERC2P1		ENSG00000261401
HGNC:4870	HERC2P2		ENSG00000276550
HGNC:4871	HERC2P3	NG_008269	ENSG00000180229
HGNC:4872	HERC2P4	NR_002827	ENSG00000230267
HGNC:4873	HERC2P5	NG_005349	ENSG00000260644
HGNC:4874	HERC2P6	NG_005348	ENSG00000261418
HGNC:4875	HERC2P7		ENSG00000281909
HGNC:38747	HERC2P8	NG_009637	ENSG00000261599
HGNC:30495	HERC2P9	NR_036443	ENSG00000206149
HGNC:39056	HERC2P10	NG_030002	ENSG00000259845
HGNC:49882	HERC2P11		ENSG00000261581
HGNC:4876	HERC3	NM_014606	ENSG00000138641
HGNC:24521	HERC4	NM_015601	ENSG00000148634
HGNC:24368	HERC5	NM_016323	ENSG00000138646
HGNC:26072	HERC6		ENSG00000138642
HGNC:13744	HERPUD1		ENSG00000051108
HGNC:21915	HERPUD2	NM_022373	ENSG00000122557
HGNC:55258	HERPUD2-AS1	NR_136255	ENSG00000271122
HGNC:5192	HES1		ENSG00000114315
HGNC:16005	HES2	NM_019089	ENSG00000069812
HGNC:26226	HES3	NM_001024598	ENSG00000173673
HGNC:24149	HES4	NM_021170	ENSG00000188290
HGNC:19764	HES5		ENSG00000197921
HGNC:18254	HES6	NM_018645	ENSG00000144485
HGNC:15977	HES7	NM_032580	ENSG00000179111
HGNC:4877	HESX1		ENSG00000163666
HGNC:4878	HEXA	NM_000520	ENSG00000213614
HGNC:25810	HEXA-AS1	NR_027262	ENSG00000260339
HGNC:4879	HEXB	NM_000521	ENSG00000049860
HGNC:26307	HEXD	NM_173620	ENSG00000169660
HGNC:43650	HEXD-IT1		ENSG00000279066
HGNC:24953	HEXIM1	NM_006460	ENSG00000186834
HGNC:28591	HEXIM2	NM_144608	ENSG00000168517
HGNC:55857	HEXIM2-AS1		ENSG00000224505
HGNC:4880	HEY1	NM_012258	ENSG00000164683
HGNC:4881	HEY2		ENSG00000135547
HGNC:55652	HEY2-AS1		ENSG00000237742
HGNC:4882	HEYL	NM_014571	ENSG00000163909
HGNC:4884	HF2		
HGNC:4885	HFC1		
HGNC:4886	HFE		ENSG00000010704
HGNC:55168	HFE-AS1	NR_144383	
HGNC:20193	HFM1	NM_001017975	ENSG00000162669
HGNC:4891	HFSP		
HGNC:4892	HGD		ENSG00000113924
HGNC:4893	HGF	NM_000601	ENSG00000019991
HGNC:4894	HGFAC		ENSG00000109758
HGNC:4895	HGFL		
HGNC:24161	HGH1	NM_016458	ENSG00000235173
HGNC:4896	HGL		
HGNC:20666	HGPPS		
HGNC:4897	HGS	NM_004712	ENSG00000185359
HGNC:26527	HGSNAT	NM_152419	ENSG00000165102
HGNC:18270	HHAT	NM_018194	ENSG00000054392
HGNC:13242	HHATL	NM_020707	ENSG00000010282
HGNC:42439	HHATL-AS1		ENSG00000230970
HGNC:4898	HHC1		
HGNC:4899	HHC2		
HGNC:4900	HHC3		
HGNC:4901	HHEX		ENSG00000152804
HGNC:4902	HHG		
HGNC:4903	HHH		
HGNC:14866	HHIP		ENSG00000164161
HGNC:44182	HHIP-AS1	NR_037595	ENSG00000248890
HGNC:19710	HHIPL1	NM_001127258	ENSG00000182218
HGNC:25842	HHIPL2	NM_024746	ENSG00000143512
HGNC:4904	HHLA1	NM_001145095	ENSG00000132297
HGNC:4905	HHLA2	NM_007072	ENSG00000114455
HGNC:4906	HHLA3	NR_027404	ENSG00000197568
HGNC:40277	HHLA3-AS1		ENSG00000226088
HGNC:4907	HIBADH	NM_152740	ENSG00000106049
HGNC:4908	HIBCH		ENSG00000198130
HGNC:4909	HIC1	NM_006497	ENSG00000177374
HGNC:18595	HIC2		ENSG00000169635
HGNC:15736	HID1	NM_030630	ENSG00000167861
HGNC:51181	HID1-AS1	NR_110878	ENSG00000263586
HGNC:4910	HIF1A	NM_001530	ENSG00000100644
HGNC:43014	HIF1A-AS1	NR_047116	ENSG00000258777
HGNC:43015	HIF1A-AS2	NR_045406	
HGNC:54284	HIF1A-AS3	NR_144368	ENSG00000258667
HGNC:17113	HIF1AN	NM_017902	ENSG00000166135
HGNC:43016	HIF1AP1		ENSG00000258978
HGNC:15825	HIF3A		ENSG00000124440
HGNC:29527	HIGD1A	NM_014056	ENSG00000181061
HGNC:22804	HIGD1AP1	NG_009611	ENSG00000258016
HGNC:42642	HIGD1AP2		ENSG00000237148
HGNC:42998	HIGD1AP3	NG_031935	ENSG00000248929
HGNC:43000	HIGD1AP4		ENSG00000233299
HGNC:42999	HIGD1AP5		ENSG00000255254
HGNC:43001	HIGD1AP6		ENSG00000253229
HGNC:43002	HIGD1AP7		
HGNC:43003	HIGD1AP8		ENSG00000237303
HGNC:43004	HIGD1AP9		ENSG00000258104
HGNC:43005	HIGD1AP10	NG_027526	ENSG00000254455
HGNC:43006	HIGD1AP11		ENSG00000227644
HGNC:43007	HIGD1AP12		ENSG00000236012
HGNC:43008	HIGD1AP13		ENSG00000251019
HGNC:43009	HIGD1AP14		ENSG00000248785
HGNC:43010	HIGD1AP15		ENSG00000237005
HGNC:43011	HIGD1AP16		ENSG00000219608
HGNC:43012	HIGD1AP17	NG_032551	ENSG00000258886
HGNC:43013	HIGD1AP18		ENSG00000253952
HGNC:24318	HIGD1B	NM_016438	ENSG00000131097
HGNC:28044	HIGD1C	NM_001109619	ENSG00000214511
HGNC:28311	HIGD2A	NM_138820	ENSG00000146066
HGNC:54793	HIGD2AP1	NG_030143	ENSG00000230047
HGNC:54794	HIGD2AP2		ENSG00000235695
HGNC:26984	HIGD2B	NM_001017925	ENSG00000175202
HGNC:4911	HIGM1		
HGNC:26938	HIKESHI	NM_016401	ENSG00000149196
HGNC:54901	HIKESHIP1	NG_009167	ENSG00000226774
HGNC:54902	HIKESHIP2		ENSG00000267544
HGNC:54904	HIKESHIP3		ENSG00000271081
HGNC:28859	HILPDA	NM_013332	ENSG00000135245
HGNC:55641	HILPDA-AS1		ENSG00000240758
HGNC:17850	HINFP	NM_015517	ENSG00000172273
HGNC:4912	HINT1	NM_005340	ENSG00000169567
HGNC:18467	HINT1P1		ENSG00000231531
HGNC:38049	HINT1P2		ENSG00000271159
HGNC:18344	HINT2	NM_032593	ENSG00000137133
HGNC:50311	HINT2P1		ENSG00000230398
HGNC:18468	HINT3	NM_138571	ENSG00000111911
HGNC:4913	HIP1	NM_005338	ENSG00000127946
HGNC:18415	HIP1R	NM_003959	ENSG00000130787
HGNC:19006	HIPK1	NM_198268	ENSG00000163349
HGNC:50576	HIPK1-AS1	NR_110725	ENSG00000235527
HGNC:14402	HIPK2	NM_022740	ENSG00000064393
HGNC:4915	HIPK3	NM_005734	ENSG00000110422
HGNC:19007	HIPK4	NM_144685	ENSG00000160396
HGNC:4916	HIRA	NM_003325	ENSG00000100084
HGNC:44916	HIRAP1	NG_025478	ENSG00000271563
HGNC:4917	HIRIP3	NM_003609	ENSG00000149929
HGNC:4918	HIS		
HGNC:49467	HISLA	NR_046094	ENSG00000258867
HGNC:20504	HIST2H3B		
HGNC:4919	HIVE1		
HGNC:4920	HIVEP1	NM_002114	ENSG00000095951
HGNC:4921	HIVEP2		ENSG00000010818
HGNC:55724	HIVEP2-DT		ENSG00000232618
HGNC:13561	HIVEP3	NM_024503	ENSG00000127124
HGNC:25444	HJURP	NM_018410	ENSG00000123485
HGNC:4887	HJV	NM_145277	ENSG00000168509
HGNC:4922	HK1	NM_000188	ENSG00000156515
HGNC:4923	HK2	NM_000189	ENSG00000159399
HGNC:55204	HK2-DT		ENSG00000272711
HGNC:4924	HK2P1	NG_009860	ENSG00000228612
HGNC:16679	HK2P2		
HGNC:4925	HK3	NM_002115	ENSG00000160883
HGNC:23302	HKDC1	NM_025130	ENSG00000156510
HGNC:4931	HLA-A	NM_002116	ENSG00000206503
HGNC:4932	HLA-B	NM_005514	ENSG00000234745
HGNC:4933	HLA-C	NM_002117	ENSG00000204525
HGNC:4934	HLA-DMA	NM_006120	ENSG00000204257
HGNC:4935	HLA-DMB	NM_002118	ENSG00000242574
HGNC:4936	HLA-DOA	NM_002119	ENSG00000204252
HGNC:4937	HLA-DOB	NM_002120	ENSG00000241106
HGNC:4938	HLA-DPA1	NM_033554	ENSG00000231389
HGNC:4939	HLA-DPA2		ENSG00000231461
HGNC:19393	HLA-DPA3	NG_011547	ENSG00000237398
HGNC:4940	HLA-DPB1	NM_002121	ENSG00000223865
HGNC:4941	HLA-DPB2	NR_001435	ENSG00000224557
HGNC:4942	HLA-DQA1	NM_002122	ENSG00000196735
HGNC:56667	HLA-DQA1-AS1		
HGNC:4943	HLA-DQA2	NM_020056	ENSG00000237541
HGNC:4944	HLA-DQB1	NM_002123	ENSG00000179344
HGNC:39762	HLA-DQB1-AS1		ENSG00000223534
HGNC:4945	HLA-DQB2		ENSG00000232629
HGNC:4946	HLA-DQB3		ENSG00000226030
HGNC:4947	HLA-DRA	NM_019111	ENSG00000204287
HGNC:4948	HLA-DRB1	NM_002124	ENSG00000196126
HGNC:4949	HLA-DRB1L		
HGNC:4950	HLA-DRB2	NG_002392	ENSG00000227442
HGNC:4951	HLA-DRB3	NM_022555	ENSG00000196101
HGNC:4952	HLA-DRB4	NM_021983	ENSG00000227357
HGNC:4953	HLA-DRB5	NM_002125	ENSG00000198502
HGNC:4954	HLA-DRB6	NR_001298	ENSG00000229391
HGNC:4955	HLA-DRB7	NG_002433	ENSG00000227099
HGNC:4956	HLA-DRB8	NG_002433	ENSG00000233697
HGNC:4957	HLA-DRB9	NG_002432	ENSG00000196301
HGNC:4958	HLA-DVB		
HGNC:4959	HLA-DXA		
HGNC:4960	HLA-DXB		
HGNC:4961	HLA-DZA		
HGNC:4962	HLA-E	NM_005516	ENSG00000204592
HGNC:4963	HLA-F	NM_018950	ENSG00000204642
HGNC:26645	HLA-F-AS1	NR_026972	ENSG00000214922
HGNC:4964	HLA-G	NM_002127	ENSG00000204632
HGNC:4965	HLA-H	NR_001434	ENSG00000206341
HGNC:4967	HLA-J	NR_024240	ENSG00000204622
HGNC:4968	HLA-JY3		
HGNC:4969	HLA-K	NG_002398	ENSG00000230795
HGNC:4970	HLA-L	NR_027822	ENSG00000243753
HGNC:19406	HLA-N	NG_009940	ENSG00000224372
HGNC:21196	HLA-P	NG_002731	ENSG00000261548
HGNC:19395	HLA-S	NG_009941	ENSG00000225851
HGNC:23478	HLA-T	NG_002398	ENSG00000231130
HGNC:23477	HLA-U	NG_002398	ENSG00000228078
HGNC:23482	HLA-V	NR_132323	ENSG00000181126
HGNC:23425	HLA-W	NG_015995	ENSG00000235290
HGNC:19385	HLA-X	NG_009943	
HGNC:33913	HLA-Y		
HGNC:19394	HLA-Z	NG_009944	ENSG00000235301
HGNC:4971	HLA70		
HGNC:4972	HLA92		
HGNC:4973	HLAK		
HGNC:4974	HLAL		
HGNC:4976	HLCS		ENSG00000159267
HGNC:55850	HLCS-AS1		ENSG00000224790
HGNC:41343	HLCS-IT1		ENSG00000237646
HGNC:4977	HLF	NM_002126	ENSG00000108924
HGNC:41922	HLFP1		ENSG00000218194
HGNC:11099	HLTF		ENSG00000071794
HGNC:40554	HLTF-AS1		ENSG00000239718
HGNC:4978	HLX	NM_021958	ENSG00000136630
HGNC:42509	HLX-AS1	NR_046901	ENSG00000257551
HGNC:16435	HM13	NM_178580	ENSG00000101294
HGNC:41940	HM13-AS1		ENSG00000230613
HGNC:41424	HM13-IT1		ENSG00000235313
HGNC:4980	HMAA		
HGNC:4981	HMAB		
HGNC:26137	HMBOX1	NM_024567	ENSG00000147421
HGNC:43632	HMBOX1-IT1		ENSG00000259196
HGNC:43631	HMBOX1-OT1		
HGNC:4982	HMBS	NM_000190	ENSG00000256269
HGNC:24446	HMCES	NM_020187	ENSG00000183624
HGNC:19194	HMCN1	NM_031935	ENSG00000143341
HGNC:21293	HMCN2	NM_001291815	ENSG00000148357
HGNC:4999	HMG1P		
HGNC:5001	HMG20A	NM_018200	ENSG00000140382
HGNC:5002	HMG20B	NM_006339	ENSG00000064961
HGNC:5010	HMGA1	NM_145899	ENSG00000137309
HGNC:13321	HMGA1P1	NG_002324	ENSG00000236683
HGNC:13322	HMGA1P2	NG_001569	ENSG00000248641
HGNC:13323	HMGA1P3	NG_002323	ENSG00000258011
HGNC:39093	HMGA1P4	NG_031851	ENSG00000234705
HGNC:19120	HMGA1P5	NG_008009	ENSG00000233313
HGNC:19121	HMGA1P6		ENSG00000233440
HGNC:19122	HMGA1P7		ENSG00000216753
HGNC:39183	HMGA1P8	NG_032791	ENSG00000233155
HGNC:5009	HMGA2	NM_003483	ENSG00000149948
HGNC:53973	HMGA2-AS1	NR_120478	ENSG00000197301
HGNC:4983	HMGB1	NM_002128	ENSG00000189403
HGNC:31379	HMGB1L15		
HGNC:4993	HMGB1P1	NG_016433	ENSG00000124097
HGNC:4995	HMGB1P3	NG_000883	ENSG00000250011
HGNC:4996	HMGB1P4	NG_004767	ENSG00000214821
HGNC:4997	HMGB1P5	NG_000897	ENSG00000132967
HGNC:4998	HMGB1P6	NG_006664	ENSG00000259781
HGNC:39096	HMGB1P7	NG_025482	ENSG00000231148
HGNC:13319	HMGB1P8	NG_005579	ENSG00000259699
HGNC:13320	HMGB1P9	NG_005481	ENSG00000224159
HGNC:4994	HMGB1P10	NG_008794	ENSG00000213707
HGNC:13316	HMGB1P11		ENSG00000230547
HGNC:13317	HMGB1P12		ENSG00000223904
HGNC:13318	HMGB1P13	NG_022327	ENSG00000220557
HGNC:20014	HMGB1P14	NG_002508	ENSG00000180189
HGNC:39097	HMGB1P15	NG_030350	ENSG00000238190
HGNC:39098	HMGB1P16	NG_022656	ENSG00000229384
HGNC:39099	HMGB1P17	NG_025876	ENSG00000217482
HGNC:39100	HMGB1P18	NG_022786	ENSG00000236407
HGNC:39101	HMGB1P19	NG_026129	ENSG00000253463
HGNC:39103	HMGB1P20		ENSG00000219163
HGNC:39106	HMGB1P21		ENSG00000248909
HGNC:39107	HMGB1P22		ENSG00000250721
HGNC:39114	HMGB1P23		ENSG00000253770
HGNC:39115	HMGB1P24		ENSG00000275029
HGNC:39116	HMGB1P25	NG_021494	ENSG00000230886
HGNC:39117	HMGB1P26	NG_022758	ENSG00000225984
HGNC:39118	HMGB1P27	NG_027985	ENSG00000230611
HGNC:39119	HMGB1P28		ENSG00000249745
HGNC:39120	HMGB1P29		ENSG00000250862
HGNC:39121	HMGB1P30		ENSG00000244089
HGNC:39122	HMGB1P31		ENSG00000233266
HGNC:39123	HMGB1P32	NG_026863	ENSG00000226837
HGNC:39124	HMGB1P33		ENSG00000261174
HGNC:23342	HMGB1P34	NG_027382	
HGNC:39175	HMGB1P35	NG_024688	ENSG00000251566
HGNC:39176	HMGB1P36	NG_025706	ENSG00000243873
HGNC:39184	HMGB1P37		ENSG00000213467
HGNC:39185	HMGB1P38		ENSG00000243877
HGNC:39186	HMGB1P39	NG_025834	ENSG00000203489
HGNC:39187	HMGB1P40		ENSG00000255291
HGNC:39188	HMGB1P41		ENSG00000253516
HGNC:39189	HMGB1P42		ENSG00000254735
HGNC:39191	HMGB1P43	NG_025349	
HGNC:39275	HMGB1P44	NG_022063	ENSG00000248956
HGNC:39277	HMGB1P45	NG_022721	ENSG00000229316
HGNC:39279	HMGB1P46	NG_026068	ENSG00000254146
HGNC:39280	HMGB1P47		ENSG00000249338
HGNC:39281	HMGB1P48		ENSG00000234379
HGNC:39282	HMGB1P49	NG_024073	ENSG00000230519
HGNC:52368	HMGB1P50		ENSG00000271237
HGNC:52369	HMGB1P51		ENSG00000270986
HGNC:5000	HMGB2	NM_001130688	ENSG00000164104
HGNC:39174	HMGB2P1	NG_021754	ENSG00000267736
HGNC:5004	HMGB3	NM_005342	ENSG00000029993
HGNC:16240	HMGB3P1	NR_002165	ENSG00000225336
HGNC:16574	HMGB3P2	NG_000979	ENSG00000231470
HGNC:39102	HMGB3P3	NG_024651	ENSG00000250730
HGNC:39104	HMGB3P4		ENSG00000228808
HGNC:39105	HMGB3P5	NG_022191	ENSG00000237642
HGNC:39283	HMGB3P6	NG_022815	ENSG00000213070
HGNC:39299	HMGB3P7	NG_024948	ENSG00000215399
HGNC:39300	HMGB3P8		ENSG00000227096
HGNC:39301	HMGB3P9		ENSG00000229992
HGNC:39302	HMGB3P10		ENSG00000223656
HGNC:39303	HMGB3P11	NG_021574	ENSG00000213301
HGNC:39304	HMGB3P12		ENSG00000237603
HGNC:39305	HMGB3P13	NG_022274	ENSG00000214288
HGNC:39306	HMGB3P14		ENSG00000231845
HGNC:39307	HMGB3P15	NG_022021	ENSG00000250897
HGNC:39308	HMGB3P16		ENSG00000248430
HGNC:39309	HMGB3P17	NG_024626	ENSG00000249400
HGNC:39310	HMGB3P18	NG_022325	ENSG00000220184
HGNC:39311	HMGB3P19	NG_022333	ENSG00000217085
HGNC:39312	HMGB3P20	NG_022531	ENSG00000226059
HGNC:39313	HMGB3P21		ENSG00000224551
HGNC:39314	HMGB3P22		ENSG00000225051
HGNC:39315	HMGB3P23		ENSG00000235148
HGNC:39316	HMGB3P24		ENSG00000215283
HGNC:39317	HMGB3P25		
HGNC:39318	HMGB3P26	NG_022849	ENSG00000259428
HGNC:39319	HMGB3P27		ENSG00000267132
HGNC:39320	HMGB3P28		
HGNC:39321	HMGB3P29	NG_024158	
HGNC:39333	HMGB3P30	NG_022892	ENSG00000213652
HGNC:39334	HMGB3P31	NG_022638	ENSG00000231929
HGNC:39335	HMGB3P32		ENSG00000260828
HGNC:24954	HMGB4	NM_145205	ENSG00000176256
HGNC:5005	HMGCL	NM_000191	ENSG00000117305
HGNC:21359	HMGCLL1	NM_019036	ENSG00000146151
HGNC:5006	HMGCR		ENSG00000113161
HGNC:5007	HMGCS1		ENSG00000112972
HGNC:5008	HMGCS2	NM_005518	ENSG00000134240
HGNC:4984	HMGN1	NM_004965	ENSG00000205581
HGNC:20015	HMGN1P1	NG_002509	ENSG00000259318
HGNC:4985	HMGN1P2	NG_000921	ENSG00000229046
HGNC:23343	HMGN1P3	NG_005988	ENSG00000258967
HGNC:39336	HMGN1P4	NG_005989	ENSG00000224040
HGNC:39348	HMGN1P5		ENSG00000230942
HGNC:39349	HMGN1P6		ENSG00000224070
HGNC:39350	HMGN1P7		ENSG00000239614
HGNC:39351	HMGN1P8		ENSG00000241120
HGNC:39352	HMGN1P9		ENSG00000248377
HGNC:39353	HMGN1P10		ENSG00000244101
HGNC:39355	HMGN1P11		ENSG00000248336
HGNC:39356	HMGN1P12		ENSG00000247911
HGNC:39357	HMGN1P13		ENSG00000249619
HGNC:39358	HMGN1P14		ENSG00000249439
HGNC:39359	HMGN1P15		ENSG00000250197
HGNC:39360	HMGN1P16		ENSG00000249503
HGNC:39361	HMGN1P17		ENSG00000250787
HGNC:39362	HMGN1P18		ENSG00000234927
HGNC:39363	HMGN1P19		ENSG00000224519
HGNC:39364	HMGN1P20		ENSG00000239539
HGNC:39365	HMGN1P21	NG_005987	
HGNC:39366	HMGN1P22		
HGNC:39367	HMGN1P23		
HGNC:39368	HMGN1P24		ENSG00000226977
HGNC:39369	HMGN1P25		
HGNC:39370	HMGN1P26	NG_028963	ENSG00000259557
HGNC:39371	HMGN1P27		
HGNC:39372	HMGN1P28		ENSG00000254114
HGNC:39373	HMGN1P29		
HGNC:39374	HMGN1P30	NG_027555	ENSG00000235028
HGNC:39375	HMGN1P31		ENSG00000267513
HGNC:39376	HMGN1P32		ENSG00000237589
HGNC:39377	HMGN1P33		ENSG00000230326
HGNC:39378	HMGN1P34		ENSG00000224755
HGNC:39379	HMGN1P35		ENSG00000172186
HGNC:39380	HMGN1P36	NG_005985	ENSG00000235734
HGNC:39421	HMGN1P37	NG_005984	ENSG00000229237
HGNC:39422	HMGN1P38	NG_005986	ENSG00000253954
HGNC:4986	HMGN2	NM_005517	ENSG00000198830
HGNC:19930	HMGN2P1	NG_002510	
HGNC:20016	HMGN2P2	NG_002460	ENSG00000258452
HGNC:33566	HMGN2P3	NG_005591	ENSG00000230330
HGNC:33567	HMGN2P4	NG_006596	ENSG00000249014
HGNC:33568	HMGN2P5	NG_006579	ENSG00000234664
HGNC:33574	HMGN2P6	NG_006597	ENSG00000257179
HGNC:33575	HMGN2P7	NG_006600	ENSG00000226427
HGNC:31662	HMGN2P8		ENSG00000212769
HGNC:4987	HMGN2P9	NG_002646	ENSG00000180150
HGNC:4988	HMGN2P10	NG_000892	ENSG00000231261
HGNC:4990	HMGN2P11	NG_001141	ENSG00000232605
HGNC:4991	HMGN2P12	NG_001142	
HGNC:33557	HMGN2P13		ENSG00000241810
HGNC:23341	HMGN2P14		
HGNC:39020	HMGN2P15		ENSG00000214578
HGNC:31330	HMGN2P16	NG_005991	ENSG00000231376
HGNC:39381	HMGN2P17	NG_006598	ENSG00000238249
HGNC:39382	HMGN2P18	NG_027556	ENSG00000223452
HGNC:39383	HMGN2P19		ENSG00000229367
HGNC:39385	HMGN2P20		ENSG00000232963
HGNC:39386	HMGN2P21		ENSG00000228034
HGNC:39387	HMGN2P22		ENSG00000227259
HGNC:39388	HMGN2P23		ENSG00000236124
HGNC:39389	HMGN2P24	NG_027554	ENSG00000229072
HGNC:39392	HMGN2P25	NG_027552	ENSG00000228398
HGNC:39393	HMGN2P26		ENSG00000241203
HGNC:39394	HMGN2P27		ENSG00000232916
HGNC:39395	HMGN2P28		ENSG00000236086
HGNC:39396	HMGN2P29	NG_032286	
HGNC:39397	HMGN2P30		ENSG00000213721
HGNC:39398	HMGN2P31		ENSG00000214195
HGNC:39403	HMGN2P32		ENSG00000213558
HGNC:39404	HMGN2P33	NG_032290	
