Gene,fullName,Annotation
Mycn,v-myc myelocytomatosis viral rela,S11vsC11
Rela,v-rel reticuloendotheliosis viral on,S11vsC11
Zbtb16,zinc finger and BTB domain conta ,S11vsC11
Zbtb38,zinc finger and BTB domain conta ,S11vsC11
Zscan4-ps2,zinc finger and SCAN domain cont,S11vsC11
Zeb2,zinc finger E-box binding homeob ,S11vsC11
Zfhx2,zinc finger homeobox 2; similar to,S11vsC11
Zfp238,zinc finger protein 238,S11vsC11
Zfp334,zinc finger protein 334,S11vsC11
Zfp617,zinc finger protein 617,S11vsC11
Zfp667,zinc finger protein 667,S11vsC11
Zfp689,zinc finger protein 689,S11vsC11
Zfp7,zinc finger protein 7,S11vsC11
Zfp811,zinc finger protein 811,S11vsC11
Zscan29,zinc finger SCAN domains 29,S11vsC11
Arnt2,aryl hydrocarbon receptor nucle,S15vsC15
Arntl,aryl hydrocarbon receptor nucle,S15vsC15
Ascl1,achaete-scute complex homolog,S15vsC15
Atoh1,atonal homolog 1 (Drosophila),S15vsC15
Bach2,BTB and CNC homology 2,S15vsC15
Cebpg,CCAAT/enhancer binding protein,S15vsC15
Cphx,predicted gene 2135; predicted,S15vsC15
Crem,cAMP responsive element modu,S15vsC15
Csrnp2,cysteine-serine-rich nuclear prot,S15vsC15
Csrnp3,cysteine-serine-rich nuclear prot,S15vsC15
Cux2,cut-like homeobox 2,S15vsC15
Dlx1,distal-less homeobox 1,S15vsC15
Dlx2,distal-less homeobox 2,S15vsC15
Dlx5,distal-less homeobox 5,S15vsC15
Dlx6,distal-less homeobox 6,S15vsC15
Dmrt3,doublesex and mab-3 related tra,S15vsC15
Dmrta1,doublesex and mab-3 related tra,S15vsC15
Duxbl,predicted gene 10394; predicted,S15vsC15
E2f5,E2F transcription factor 5,S15vsC15
Ebf3,early B-cell factor 3,S15vsC15
Elf2,E74-like factor 2,S15vsC15
Etv1,ets variant gene 1,S15vsC15
Etv5,ets variant gene 5,S15vsC15
Foxb1,forkhead box B1,S15vsC15
Foxd3,forkhead box D3,S15vsC15
Foxn2,forkhead box N2,S15vsC15
Foxo1,forkhead box O1,S15vsC15
Foxo3,forkhead box O3,S15vsC15
Gm239,predicted gene 239,S15vsC15
Hand2,heart and neural crest derivative,S15vsC15
Hdac2,histone deacetylase 2,S15vsC15
Hdx,highly divergent homeobox,S15vsC15
Hes6,hairy and enhancer of split 6 (Dr,S15vsC15
Hey2,hairy/enhancer-of-split related w,S15vsC15
Hmx2,H6 homeo box 2,S15vsC15
Hmx3,H6 homeo box 3,S15vsC15
Hoxa1,homeo box A1,S15vsC15
Hoxa2,homeo box A2,S15vsC15
Hoxa3,homeo box A3,S15vsC15
Hoxa4,homeo box A4,S15vsC15
Hoxa5,homeo box A5,S15vsC15
Hoxb2,homeo box B2,S15vsC15
Hoxb3,homeo box B3,S15vsC15
Hoxb4,homeo box B4,S15vsC15
Hoxb5,homeo box B5,S15vsC15
Hoxc4,homeo box C4,S15vsC15
Hoxd1,homeo box D1,S15vsC15
Hoxd3,homeo box D3,S15vsC15
Hsf2,heat shock factor 2,S15vsC15
Ilf2,interleukin enhancer binding fac,S15vsC15
Jarid2,"jumonji, AT rich interactive dom",S15vsC15
Jazf1,JAZF zinc finger 1,S15vsC15
Klf15,Kruppel-like factor 15,S15vsC15
Klf7,Kruppel-like factor 7 (ubiquitous,S15vsC15
Lbh,limb-bud and heart,S15vsC15
Lcor,ligand dependent nuclear recept,S15vsC15
Lef1,lymphoid enhancer binding facto,S15vsC15
Lhx1,LIM homeobox protein 1,S15vsC15
Mecp2,methyl CpG binding protein 2,S15vsC15
Mef2c,myocyte enhancer factor 2C,S15vsC15
Meis3,similar to Myeloid ecotropic vira,S15vsC15
Mitf,microphthalmia-associated trans,S15vsC15
Mta1,similar to metastasis-associated,S15vsC15
Mycl1,v-myc myelocytomatosis viral on,S15vsC15
Mycn,v-myc myelocytomatosis viral re,S15vsC15
Myt1,myelin transcription factor 1,S15vsC15
Myt1l,myelin transcription factor 1-like,S15vsC15
NeuroD4,neurogenic differentiation 4,S15vsC15
Nfe2l3,"nuclear factor, erythroid derived",S15vsC15
Nfyb,nuclear transcription factor-Y be,S15vsC15
Nkap,reproductive homeobox 3B; UPF,S15vsC15
Notch1,Notch gene homolog 1 (Drosoph,S15vsC15
Nr1d2,"nuclear receptor subfamily 1, gro",S15vsC15
Nr2c1,"nuclear receptor subfamily 2, gro",S15vsC15
Nr2c2,"nuclear receptor subfamily 2, gro",S15vsC15
Nr6a1,"nuclear receptor subfamily 6, gro",S15vsC15
Otx2,orthodenticle homolog 2 (Droso,S15vsC15
Pbx4,pre-B-cell leukemia homeobox 4,S15vsC15
Phox2a,paired-like homeobox 2a,S15vsC15
Phox2b,paired-like homeobox 2b,S15vsC15
Pou2f1,"POU domain, class 2, transcriptio",S15vsC15
Pou3f3,"POU domain, class 3, transcriptio",S15vsC15
Pou4f1,"POU domain, class 4, transcriptio",S15vsC15
Prox1,prospero-related homeobox 1,S15vsC15
Prrxl1,paired related homeobox protei,S15vsC15
Rara,"retinoic acid receptor, alpha",S15vsC15
Rarb,"retinoic acid receptor, beta",S15vsC15
Rcor2,REST corepressor 2,S15vsC15
Rere,arginine glutamic acid dipeptide,S15vsC15
Rhox12,reproductive homeobox 12,S15vsC15
Sall4,sal-like 4 (Drosophila),S15vsC15
Satb1,special AT-rich sequence binding,S15vsC15
Satb2,special AT-rich sequence binding,S15vsC15
Smad2,MAD homolog 2 (Drosophila),S15vsC15
Sox10,SRY-box containing gene 10,S15vsC15
Sox11,SRY-box containing gene 11,S15vsC15
Sox2,SRY-box containing gene 2,S15vsC15
Sox5,SRY-box containing gene 5,S15vsC15
Sox8,SRY-box containing gene 8,S15vsC15
St18,suppression of tumorigenicity 18,S15vsC15
Taf4a,"TAF4A RNA polymerase II, TATA",S15vsC15
Tbx2,T-box 2,S15vsC15
Tbx20,T-box 20,S15vsC15
Tbx3,T-box 3,S15vsC15
Tcf12,transcription factor 12,S15vsC15
Tcf4,transcription factor 4,S15vsC15
Tcfap2a,"transcription factor AP-2, alpha",S15vsC15
Tcfap2b,transcription factor AP-2 beta,S15vsC15
Tfam,"transcription factor A, mitochon",S15vsC15
Tle4,transducin-like enhancer of split,S15vsC15
Tlx2,"T-cell leukemia, homeobox 2",S15vsC15
Tlx3,"T-cell leukemia, homeobox 3",S15vsC15
Tshz1,teashirt zinc finger family memb,S15vsC15
Zbtb38,zinc finger and BTB domain cont,S15vsC15
Zfhx2,zinc finger homeobox 2; similar t,S15vsC15
Zfp112,zinc finger protein 112,S15vsC15
Zfp113,zinc finger protein 113,S15vsC15
Zfp184,zinc finger protein 184 (Kruppel-,S15vsC15
Zfp191,zinc finger protein 191,S15vsC15
Zfp238,zinc finger protein 238,S15vsC15
Zfp263,zinc finger protein 263,S15vsC15
Zfp266,RIKEN cDNA 5730601F06 gene,S15vsC15
Zfp28,zinc finger protein 28; predicted,S15vsC15
Zfp37,zinc finger protein 37,S15vsC15
Zfp397,zinc finger protein 397,S15vsC15
Zfp418,zinc finger protein 418,S15vsC15
Zfp426,zinc finger protein 426,S15vsC15
Zfp445,zinc finger protein 445,S15vsC15
Zfp462,zinc finger protein 462,S15vsC15
Zfp566,zinc finger protein 566,S15vsC15
Zfp583,zinc finger protein 583,S15vsC15
Zfp59,zinc finger protein 59; predicted,S15vsC15
Zfp60,similar to Zinc finger protein 60;,S15vsC15
Zfp612,zinc finger protein 612,S15vsC15
Zfp647,zinc finger protein 647,S15vsC15
Zfp667,zinc finger protein 667,S15vsC15
Zfp689,zinc finger protein 689,S15vsC15
Zfp7,zinc finger protein 7,S15vsC15
Zfp763,zinc finger protein 763,S15vsC15
Zfp786,zinc finger protein 786,S15vsC15
Zfp788,zinc finger protein 788,S15vsC15
Zfp825,zinc finger protein 825,S15vsC15
Zfp84,zinc finger protein 84,S15vsC15
Zfp941,cDNA sequence BC066028,S15vsC15
Zfp945,RIKEN cDNA A630033E08 gene,S15vsC15
Zfp946,RIKEN cDNA 1300003B13 gene;,S15vsC15
Zik1,zinc finger protein interacting wi,S15vsC15
Zkscan1,zinc finger with KRAB and SCAN,S15vsC15
Zkscan2,zinc finger with KRAB and SCAN,S15vsC15
Zscan21,zinc finger and SCAN domain con,S15vsC15
Zscan5b,zinc finger and SCAN domain con,S15vsC15
Zxdc,ZXD family zinc finger C,S15vsC15
Ahr,aryl-hydrocarbon receptor,W11vsC11
Alx1,ALX homeobox 1,W11vsC11
Arid3a,AT rich interactive domain 3A (BR ,W11vsC11
Arntl,aryl hydrocarbon receptor nuclea ,W11vsC11
Ascl1,achaete-scute complex homolog ,W11vsC11
Creb3,cAMP responsive element binding,W11vsC11
Creb5,RIKEN cDNA 9430076C15 gene; c ,W11vsC11
Crem,cAMP responsive element modul ,W11vsC11
Ctnnb1,catenin (cadherin associated prot ,W11vsC11
Dlx1,distal-less homeobox 1,W11vsC11
Dlx2,distal-less homeobox 2,W11vsC11
Dlx5,distal-less homeobox 5,W11vsC11
Dlx6,distal-less homeobox 6,W11vsC11
Dmrta1,doublesex and mab-3 related tran,W11vsC11
Duxbl,predicted gene 10394; predicted ,W11vsC11
Ebf3,early B-cell factor 3,W11vsC11
Erf,Ets2 repressor factor,W11vsC11
Ets1,"E26 avian leukemia oncogene 1, 5",W11vsC11
Etv1,ets variant gene 1,W11vsC11
Etv5,ets variant gene 5,W11vsC11
Foxd1,forkhead box D1,W11vsC11
Foxd3,forkhead box D3,W11vsC11
Foxn2,forkhead box N2,W11vsC11
Foxo1,forkhead box O1,W11vsC11
Glis2,GLIS family zinc finger 2,W11vsC11
Gm239,predicted gene 239,W11vsC11
Hand2,heart and neural crest derivatives ,W11vsC11
Hes1,hairy and enhancer of split 1 (Dro ,W11vsC11
Heyl,hairy/enhancer-of-split related w ,W11vsC11
Hivep2,human immunodeficiency virus ty,W11vsC11
Hoxa1,homeo box A1,W11vsC11
Hoxb2,homeo box B2,W11vsC11
Hoxb4,homeo box B4,W11vsC11
Hoxc11,homeo box C11,W11vsC11
Hoxd3,homeo box D3,W11vsC11
Irf6,interferon regulatory factor 6,W11vsC11
Jarid2,"jumonji, AT rich interactive doma ",W11vsC11
Jun,Jun oncogene,W11vsC11
Klf7,Kruppel-like factor 7 (ubiquitous) ,W11vsC11
Lbh,limb-bud and heart,W11vsC11
Lef1,lymphoid enhancer binding factor,W11vsC11
Mef2c,myocyte enhancer factor 2C,W11vsC11
Meis3,similar to Myeloid ecotropic viral ,W11vsC11
Mitf,microphthalmia-associated transc,W11vsC11
Mta1,similar to metastasis-associated p,W11vsC11
Mta2,metastasis-associated gene family,W11vsC11
Mxi1,Max interacting protein 1,W11vsC11
Myc,myelocytomatosis oncogene,W11vsC11
Mycn,v-myc myelocytomatosis viral rela,W11vsC11
Myt1,myelin transcription factor 1,W11vsC11
Nfe2l1,"nuclear factor, erythroid derived ",W11vsC11
Nkap,reproductive homeobox 3B; UPF3,W11vsC11
Notch1,Notch gene homolog 1 (Drosophil,W11vsC11
Nr4a1,"nuclear receptor subfamily 4, gro ",W11vsC11
Nr4a2,"nuclear receptor subfamily 4, gro ",W11vsC11
Patz1,POZ (BTB) and AT hook containing,W11vsC11
Pax3,paired box gene 3,W11vsC11
Phox2a,paired-like homeobox 2a,W11vsC11
Phox2b,paired-like homeobox 2b,W11vsC11
Pou3f2,"POU domain, class 3, transcriptio ",W11vsC11
Pou4f1,"POU domain, class 4, transcriptio ",W11vsC11
Pou4f2,"POU domain, class 4, transcriptio ",W11vsC11
Preb,prolactin regulatory element bind,W11vsC11
Prox1,prospero-related homeobox 1,W11vsC11
Prrx1,paired related homeobox 1,W11vsC11
Rara,"retinoic acid receptor, alpha",W11vsC11
Rarb,"retinoic acid receptor, beta",W11vsC11
Rela,v-rel reticuloendotheliosis viral on,W11vsC11
Satb1,special AT-rich sequence binding ,W11vsC11
Satb2,special AT-rich sequence binding ,W11vsC11
Shox2,short stature homeobox 2,W11vsC11
Smad1,MAD homolog 1 (Drosophila),W11vsC11
Smad2,MAD homolog 2 (Drosophila),W11vsC11
Sox10,SRY-box containing gene 10,W11vsC11
Sox2,SRY-box containing gene 2,W11vsC11
Sox4,SRY-box containing gene 19; SRY- ,W11vsC11
Sox5,SRY-box containing gene 5,W11vsC11
Sox8,SRY-box containing gene 8,W11vsC11
St18,suppression of tumorigenicity 18 ,W11vsC11
Stat3,similar to Stat3B; signal transduce,W11vsC11
Tbx2,T-box 2,W11vsC11
Tbx20,T-box 20,W11vsC11
Tbx3,T-box 3,W11vsC11
Tcf25,transcription factor 25 (basic helix,W11vsC11
Tcf4,transcription factor 4,W11vsC11
Tcfap2a,"transcription factor AP-2, alpha",W11vsC11
Tcfap2b,transcription factor AP-2 beta,W11vsC11
Tcfap2c,"transcription factor AP-2, gamma ",W11vsC11
Tfdp1,predicted gene 7390; transcriptio ,W11vsC11
Tshz1,teashirt zinc finger family membe ,W11vsC11
Zbtb16,zinc finger and BTB domain conta ,W11vsC11
Zbtb38,zinc finger and BTB domain conta ,W11vsC11
Zeb2,zinc finger E-box binding homeob ,W11vsC11
Zfhx2,zinc finger homeobox 2; similar to,W11vsC11
Zfp191,zinc finger protein 191,W11vsC11
Zfp238,zinc finger protein 238,W11vsC11
Zfp28,zinc finger protein 28; predicted g,W11vsC11
Zfp334,zinc finger protein 334,W11vsC11
Zfp617,zinc finger protein 617,W11vsC11
Zfp667,zinc finger protein 667,W11vsC11
Zfp689,zinc finger protein 689,W11vsC11
Zfp7,zinc finger protein 7,W11vsC11
Zfp763,zinc finger protein 763,W11vsC11
Zfp811,zinc finger protein 811,W11vsC11
Zfp84,zinc finger protein 84,W11vsC11
Zfp948,cDNA sequence BC049807,W11vsC11
Zkscan1,zinc finger with KRAB and SCAN d ,W11vsC11
Arnt2,aryl hydrocarbon receptor nucle,W15vsC15
Arntl,aryl hydrocarbon receptor nucle,W15vsC15
Ascl1,achaete-scute complex homolog,W15vsC15
Atf2,activating transcription factor 2;,W15vsC15
Atoh1,atonal homolog 1 (Drosophila),W15vsC15
Bach2,BTB and CNC homology 2,W15vsC15
Cebpg,CCAAT/enhancer binding protein,W15vsC15
Cphx,predicted gene 2135; predicted,W15vsC15
Csrnp2,cysteine-serine-rich nuclear prot,W15vsC15
Csrnp3,cysteine-serine-rich nuclear prot,W15vsC15
Cux2,cut-like homeobox 2,W15vsC15
Dlx1,distal-less homeobox 1,W15vsC15
Dlx2,distal-less homeobox 2,W15vsC15
Dlx3,distal-less homeobox 3,W15vsC15
Dlx5,distal-less homeobox 5,W15vsC15
Dlx6,distal-less homeobox 6,W15vsC15
Dmrt3,doublesex and mab-3 related tra,W15vsC15
Dmrta1,doublesex and mab-3 related tra,W15vsC15
Duxbl,predicted gene 10394; predicted,W15vsC15
Ebf3,early B-cell factor 3,W15vsC15
Etv1,ets variant gene 1,W15vsC15
Etv5,ets variant gene 5,W15vsC15
Foxo1,forkhead box O1,W15vsC15
Hand2,heart and neural crest derivative,W15vsC15
Hdac2,histone deacetylase 2,W15vsC15
Hdx,highly divergent homeobox,W15vsC15
Hes6,hairy and enhancer of split 6 (Dr,W15vsC15
Hey2,hairy/enhancer-of-split related w,W15vsC15
Hmx3,H6 homeo box 3,W15vsC15
Hoxa1,homeo box A1,W15vsC15
Hoxa2,homeo box A2,W15vsC15
Hoxa3,homeo box A3,W15vsC15
Hoxa3,homeo box A3,W15vsC15
Hoxa4,homeo box A4,W15vsC15
Hoxa5,homeo box A5,W15vsC15
Hoxb2,homeo box B2,W15vsC15
Hoxb3,homeo box B3,W15vsC15
Hoxb4,homeo box B4,W15vsC15
Hoxb5,homeo box B5,W15vsC15
Hoxb6,homeo box B6,W15vsC15
Hoxc4,homeo box C4,W15vsC15
Hoxd3,homeo box D3,W15vsC15
Hoxd4,homeo box D4,W15vsC15
Hsf2,heat shock factor 2,W15vsC15
Ilf2,interleukin enhancer binding fac,W15vsC15
Jarid2,"jumonji, AT rich interactive dom",W15vsC15
Jazf1,JAZF zinc finger 1,W15vsC15
Klf13,Kruppel-like factor 13,W15vsC15
Klf7,Kruppel-like factor 7 (ubiquitous,W15vsC15
Lhx1,LIM homeobox protein 1,W15vsC15
Mef2c,myocyte enhancer factor 2C,W15vsC15
Meis3,similar to Myeloid ecotropic vira,W15vsC15
Mxi1,Max interacting protein 1,W15vsC15
Mycl1,v-myc myelocytomatosis viral on,W15vsC15
Mycn,v-myc myelocytomatosis viral re,W15vsC15
Myt1,myelin transcription factor 1,W15vsC15
Myt1l,myelin transcription factor 1-like,W15vsC15
NeuroD4,neurogenic differentiation 4,W15vsC15
Nfe2l3,"nuclear factor, erythroid derived",W15vsC15
Nkap,reproductive homeobox 3B; UPF,W15vsC15
Nr1d2,"nuclear receptor subfamily 1, gro",W15vsC15
Nr2c1,"nuclear receptor subfamily 2, gro",W15vsC15
Nr2c2,"nuclear receptor subfamily 2, gro",W15vsC15
Nr6a1,"nuclear receptor subfamily 6, gro",W15vsC15
Onecut2,"one cut domain, family member",W15vsC15
Patz1,POZ (BTB) and AT hook containin,W15vsC15
Pbx3,similar to PBX3a; pre B-cell leuke,W15vsC15
Pbx4,pre-B-cell leukemia homeobox 4,W15vsC15
Pgr,progesterone receptor,W15vsC15
Phox2a,paired-like homeobox 2a,W15vsC15
Phox2b,paired-like homeobox 2b,W15vsC15
Pou2f1,"POU domain, class 2, transcriptio",W15vsC15
Pou3f3,"POU domain, class 3, transcriptio",W15vsC15
Prrxl1,paired related homeobox protei,W15vsC15
Rarb,"retinoic acid receptor, beta",W15vsC15
Sall4,sal-like 4 (Drosophila),W15vsC15
Satb1,special AT-rich sequence binding,W15vsC15
Satb2,special AT-rich sequence binding,W15vsC15
Smad2,MAD homolog 2 (Drosophila),W15vsC15
Sox10,SRY-box containing gene 10,W15vsC15
Sox11,SRY-box containing gene 11,W15vsC15
Sox2,SRY-box containing gene 2,W15vsC15
Sox4,SRY-box containing gene 19; SRY,W15vsC15
Sox5,SRY-box containing gene 5,W15vsC15
Sox8,SRY-box containing gene 8,W15vsC15
St18,suppression of tumorigenicity 18,W15vsC15
Tbr1,T-box brain gene 1,W15vsC15
Tbx2,T-box 2,W15vsC15
Tbx20,T-box 20,W15vsC15
Tbx3,T-box 3,W15vsC15
Tcf4,transcription factor 4,W15vsC15
Tcfap2a,"transcription factor AP-2, alpha",W15vsC15
Tlx2,"T-cell leukemia, homeobox 2",W15vsC15
Tshz1,teashirt zinc finger family memb,W15vsC15
Zbtb38,zinc finger and BTB domain cont,W15vsC15
Zfhx2,zinc finger homeobox 2; similar t,W15vsC15
Zfhx4,zinc finger homeodomain 4,W15vsC15
Zfp112,zinc finger protein 112,W15vsC15
Zfp113,zinc finger protein 113,W15vsC15
Zfp169,zinc finger protein 169,W15vsC15
Zfp191,zinc finger protein 191,W15vsC15
Zfp238,zinc finger protein 238,W15vsC15
Zfp26,zinc finger protein 26,W15vsC15
Zfp28,zinc finger protein 28; predicted,W15vsC15
Zfp30,zinc finger protein 30,W15vsC15
Zfp317,zinc finger protein 317,W15vsC15
Zfp37,zinc finger protein 37,W15vsC15
Zfp397,zinc finger protein 397,W15vsC15
Zfp397os,zinc finger protein 397 opposite,W15vsC15
Zfp40,zinc finger protein 40,W15vsC15
Zfp418,zinc finger protein 418,W15vsC15
Zfp426,zinc finger protein 426,W15vsC15
Zfp445,zinc finger protein 445,W15vsC15
Zfp462,zinc finger protein 462,W15vsC15
Zfp558,zinc finger protein 558,W15vsC15
Zfp566,zinc finger protein 566,W15vsC15
Zfp57,zinc finger protein 57,W15vsC15
Zfp583,zinc finger protein 583,W15vsC15
Zfp59,zinc finger protein 59; predicted,W15vsC15
Zfp60,similar to Zinc finger protein 60;,W15vsC15
Zfp612,zinc finger protein 612,W15vsC15
Zfp617,zinc finger protein 617,W15vsC15
Zfp647,zinc finger protein 647,W15vsC15
Zfp667,zinc finger protein 667,W15vsC15
Zfp689,zinc finger protein 689,W15vsC15
Zfp7,zinc finger protein 7,W15vsC15
Zfp763,zinc finger protein 763,W15vsC15
Zfp78,zinc finger protein 78,W15vsC15
Zfp786,zinc finger protein 786,W15vsC15
Zfp788,zinc finger protein 788,W15vsC15
Zfp84,zinc finger protein 84,W15vsC15
Zfp810,zinc finger protein 810,W15vsC15
Zfp811,zinc finger protein 811,W15vsC15
Zfp94,zinc finger protein 94,W15vsC15
Zfp945,RIKEN cDNA A630033E08 gene,W15vsC15
ZFP946,RIKEN cDNA 1300003B13 gene;,W15vsC15
Zfp961,cDNA sequence BC049349,W15vsC15
Zik1,zinc finger protein interacting wi,W15vsC15
Zkscan1,zinc finger with KRAB and SCAN,W15vsC15
Zkscan2,zinc finger with KRAB and SCAN,W15vsC15
Zmiz1,RIKEN cDNA D930049A15 gene;,W15vsC15
Zscan21,zinc finger and SCAN domain con,W15vsC15
Zxda,"zinc finger, X-linked, duplicated A",W15vsC15
5730507C01,RIKEN cDNA 5730507C01 gene; p ,C11vsW11
Barx1,BarH-like homeobox 1,C11vsW11
Bcl6b,"B-cell CLL/lymphoma 6, member ",C11vsW11
Bhlhe41,"basic helix-loop-helix family, mem",C11vsW11
Creb3l1,cAMP responsive element binding,C11vsW11
Creb3l2,cAMP responsive element binding,C11vsW11
Cux2,cut-like homeobox 2,C11vsW11
Dmrt2,doublesex and mab-3 related tran,C11vsW11
Ebf1,early B-cell factor 1,C11vsW11
Epas1,endothelial PAS domain protein 1 ,C11vsW11
Erg,avian erythroblastosis virus E-26 (,C11vsW11
Esrrg,estrogen-related receptor gamma,C11vsW11
Ets2,"E26 avian leukemia oncogene 2, 3",C11vsW11
Fli1,Friend leukemia integration 1,C11vsW11
Foxc2,forkhead box C2,C11vsW11
Foxf1a,forkhead box F1a,C11vsW11
Foxf2,forkhead box F2,C11vsW11
Foxp1,forkhead box P1,C11vsW11
Foxp2,forkhead box P2,C11vsW11
Foxp4,forkhead box P4,C11vsW11
Gata1,GATA binding protein 1,C11vsW11
Gata4,GATA binding protein 4,C11vsW11
Gata6,GATA binding protein 6,C11vsW11
Gli1,GLI-Kruppel family member GLI1 ,C11vsW11
Gli2,GLI-Kruppel family member GLI2 ,C11vsW11
Gm98,predicted gene 98,C11vsW11
Hand1,heart and neural crest derivatives ,C11vsW11
Hhex,hematopoietically expressed hom,C11vsW11
Hif3a,"hypoxia inducible factor 3, alpha s",C11vsW11
Hlf,hepatic leukemia factor,C11vsW11
Hlx,H2.0-like homeobox,C11vsW11
Hoxa10,homeo box A10,C11vsW11
Hoxa11,homeo box A11,C11vsW11
Hoxa4,homeo box A4,C11vsW11
Hoxa5,homeo box A5,C11vsW11
Hoxa6,homeo box A6,C11vsW11
Hoxa9,homeo box A9,C11vsW11
Hoxb6,homeo box B6,C11vsW11
Hoxb8,homeo box B8,C11vsW11
Hoxc10,homeo box C10,C11vsW11
Hoxc4,homeo box C4,C11vsW11
Hoxc5,homeo box C5,C11vsW11
Hoxc6,homeo box C6,C11vsW11
Hoxc8,homeo box C8,C11vsW11
Hoxc9,homeo box C9,C11vsW11
Hoxd10,homeo box D10,C11vsW11
Hoxd11,homeo box D11,C11vsW11
Hoxd4,homeo box D4,C11vsW11
Hoxd8,homeo box D8,C11vsW11
Hoxd9,homeo box D9,C11vsW11
Ikzf1,IKAROS family zinc finger 1,C11vsW11
Isl1,"ISL1 transcription factor, LIM/hom",C11vsW11
Klf1,Kruppel-like factor 1 (erythroid),C11vsW11
Klf12,Kruppel-like factor 12,C11vsW11
Lhx9,LIM homeobox protein 9,C11vsW11
Meis1,Meis homeobox 1,C11vsW11
Meis2,Meis homeobox 2,C11vsW11
Nfatc4,nuclear factor of activated T-cells ,C11vsW11
Nfe2,"nuclear factor, erythroid derived ",C11vsW11
Nfe2l2,"nuclear factor, erythroid derived ",C11vsW11
Nfia,nuclear factor I/A,C11vsW11
Nfib,nuclear factor I/B,C11vsW11
Nkx2-3,"NK2 transcription factor related, l ",C11vsW11
Nkx6-1,NK6 homeobox 1,C11vsW11
Npas3,neuronal PAS domain protein 3,C11vsW11
Nr1h5,"nuclear receptor subfamily 1, gro ",C11vsW11
Nr2f2,similar to COUP-TFI; nuclear rece ,C11vsW11
Nr3c1,"nuclear receptor subfamily 3, gro ",C11vsW11
Nr5a2,"nuclear receptor subfamily 5, gro ",C11vsW11
Pbx1,pre B-cell leukemia transcription f,C11vsW11
Pitx2,paired-like homeodomain transcr ,C11vsW11
Plagl1,pleiomorphic adenoma gene-like ,C11vsW11
Rest,RE1-silencing transcription factor ,C11vsW11
Runx1,runt related transcription factor 1,C11vsW11
Runx1t1,runt-related transcription factor 1,C11vsW11
Sfpi1,SFFV proviral integration 1,C11vsW11
Six2,similar to Homeobox protein SIX2 ,C11vsW11
Smad5,MAD homolog 5 (Drosophila),C11vsW11
Smad7,MAD homolog 7 (Drosophila),C11vsW11
Tbx18,T-box18,C11vsW11
Tbx5,T-box 5,C11vsW11
Tcf21,transcription factor 21,C11vsW11
Tead3,TEA domain family member 3,C11vsW11
Thra,thyroid hormone receptor alpha; ,C11vsW11
Trps1,trichorhinophalangeal syndrome ,C11vsW11
Tshz2,teashirt zinc finger family membe ,C11vsW11
Tshz3,teashirt zinc finger family membe ,C11vsW11
Twist2,twist homolog 2 (Drosophila),C11vsW11
Wt1,similar to Wilms tumor homolog; ,C11vsW11
Zfhx4,zinc finger homeodomain 4,C11vsW11
Zfp558,zinc finger protein 558,C11vsW11
Zim1,"zinc finger, imprinted 1",C11vsW11
Znfng936,RIKEN cDNA I1C0022H11,C11vsW11
Aff3,"AF4/FMR2 family, member 3; sim",C15vsW15
Ahr,aryl-hydrocarbon receptor,C15vsW15
Arap1,"ArfGAP with RhoGAP domain, an",C15vsW15
Arnt,aryl hydrocarbon receptor nucle,C15vsW15
Atf1,predicted gene 1862; activating,C15vsW15
Atf3,activating transcription factor 3,C15vsW15
Atf7,activating transcription factor 7,C15vsW15
Barx1,BarH-like homeobox 1,C15vsW15
Bcl10,B-cell leukemia/lymphoma 10; p,C15vsW15
Bcl6,B-cell leukemia/lymphoma 6,C15vsW15
Bcl6b,"B-cell CLL/lymphoma 6, member",C15vsW15
Bhlhe40,"basic helix-loop-helix family, me",C15vsW15
Bhlhe41,"basic helix-loop-helix family, me",C15vsW15
Cdx2,caudal type homeo box 2,C15vsW15
Cebpa,CCAAT/enhancer binding protein,C15vsW15
Cebpb,CCAAT/enhancer binding protein,C15vsW15
Cebpd,CCAAT/enhancer binding protein,C15vsW15
Creb3l1,cAMP responsive element bindin,C15vsW15
Creb3l2,cAMP responsive element bindin,C15vsW15
Csda,cold shock domain protein A,C15vsW15
Csrnp1,cysteine-serine-rich nuclear prot,C15vsW15
E2f7,E2F transcription factor 7,C15vsW15
E2f8,E2F transcription factor 8,C15vsW15
Ebf1,early B-cell factor 1,C15vsW15
Ebf2,early B-cell factor 2,C15vsW15
Egr1,early growth response 1,C15vsW15
Egr2,early growth response 2,C15vsW15
Ehf,ets homologous factor,C15vsW15
Elf1,E74-like factor 1,C15vsW15
Elk3,"ELK3, member of ETS oncogene",C15vsW15
Elk4,"ELK4, member of ETS oncogene",C15vsW15
Epas1,endothelial PAS domain protein,C15vsW15
Erg,avian erythroblastosis virus E-26,C15vsW15
Ets1,"E26 avian leukemia oncogene 1,",C15vsW15
Ets2,"E26 avian leukemia oncogene 2,",C15vsW15
Etv6,ets variant gene 6 (TEL oncogene,C15vsW15
Fli1,Friend leukemia integration 1,C15vsW15
Fos,FBJ osteosarcoma oncogene,C15vsW15
Fosb,FBJ osteosarcoma oncogene B,C15vsW15
Fosl2,similar to fos-like antigen 2; fos-l,C15vsW15
Foxa3,forkhead box A3,C15vsW15
Foxc2,forkhead box C2,C15vsW15
Foxf1a,forkhead box F1a,C15vsW15
